component_type,component_name,component_link,Core_Count,Core_Family,ECC_Support,Efficiency_Core_Boost_Clock,Efficiency_Core_Clock,Includes_CPU_Cooler,Includes_Cooler,Inferred_,Integrated_Graphics,L2_Cache,L3_Cache,Lithography,Manufacturer,Maximum_Supported_Memory,Microarchitecture,Packaging,Part_#_#,Performance_Core_Boost_Clock,Performance_Core_Clock,Series,Simultaneous_Multithreading,Socket,TDP,Thread_Count,
,AMD Ryzen 9 7900X 4.7 GHz 12-Core,https://pcpartpicker.com/product/bwxRsY/amd-ryzen-9-7900x-47-ghz-12-core-processor-100-100000589wof,12,Raphael,Yes,,,No,No,,Radeon,12 MB,64 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000589WOF,5.6 GHz,4.7 GHz,AMD Ryzen 9,Yes,AM5,170 W,24,
,AMD Ryzen 9 5900X 3.7 GHz 12-Core,https://pcpartpicker.com/product/KwLwrH/amd-ryzen-9-5900x-37-ghz-12-core-processor-100-100000061wof,12,Vermeer,No,,,No,No,,,6 MB,64 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000061WOF,4.8 GHz,3.7 GHz,AMD Ryzen 9,Yes,AM4,105 W,24,
,AMD Ryzen 9 9950X 4.3 GHz 16-Core,https://pcpartpicker.com/product/T6GhP6/amd-ryzen-9-9950x-43-ghz-16-core-processor-100-100001277wof,16,Granite Ridge,Yes,,,No,No,,Radeon,16 MB,64 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001277WOF,5.7 GHz,4.3 GHz,AMD Ryzen 9,Yes,AM5,170 W,32,
,Intel Core i9-9900K 3.6 GHz 8-Core,https://pcpartpicker.com/product/jHZFf7/intel-core-i9-9900k-36ghz-8-core-processor-bx80684i99900k,8,Coffee Lake Refresh,No,,,No,No,,Intel UHD Graphics 630,2 MB,16 MB,14 nm,Intel,128 GB,Coffee Lake Refresh,Boxed,BX80684I99900K,5 GHz,3.6 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1151,95 W,16,
,AMD Ryzen 5 5600 3.5 GHz 6-Core,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,6,Vermeer,No,,,Yes,Yes,,,3 MB,32 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000927BOX,4.4 GHz,3.5 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,AMD Ryzen 5 9600X 3.9 GHz 6-Core,https://pcpartpicker.com/product/4r4Zxr/amd-ryzen-5-9600x-39-ghz-6-core-processor-100-100001405wof,6,Granite Ridge,Yes,,,No,No,,Radeon,6 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001405WOF,5.4 GHz,3.9 GHz,AMD Ryzen 5,Yes,AM5,65 W,12,
,Intel Core i5-12600KF 3.7 GHz 10-Core,https://pcpartpicker.com/product/Tk8bt6/intel-core-i5-12600kf-37-ghz-6-core-processor-bx8071512600kf,10,Alder Lake,No,3.6 GHz,2.8 GHz,No,No,,,9.5 MB,20 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512600KF,4.9 GHz,3.7 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,125 W,16,
,Intel Core i5-12600KF 3.7 GHz 10-Core,https://pcpartpicker.com/product/Tk8bt6/intel-core-i5-12600kf-37-ghz-6-core-processor-bx8071512600kf,10,Alder Lake,No,3.6 GHz,2.8 GHz,No,No,,,9.5 MB,20 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512600KF,4.9 GHz,3.7 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,125 W,16,
,Intel Core i5-14400F 2.5 GHz 10-Core,https://pcpartpicker.com/product/QkP8TW/intel-core-i5-14400f-25-ghz-10-core-processor-bx8071514400f,10,Raptor Lake Refresh,Yes,3.5 GHz,1.8 GHz,Yes,Yes,,,9.5 MB,20 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514400F,4.7 GHz,2.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,65 W,16,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,Intel Core i5-12400F 2.5 GHz 6-Core,https://pcpartpicker.com/product/pQNxFT/intel-core-i5-12400f-25-ghz-6-core-processor-bx8071512400f,6,Alder Lake,No,,,Yes,Yes,,,7.5 MB,18 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512400F,4.4 GHz,2.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,65 W,12,
,AMD Ryzen 5 8400F 4.2 GHz 6-Core,https://pcpartpicker.com/product/DpcgXL/amd-ryzen-5-8400f-42-ghz-6-core-processor-100-100001591box,6,Phoenix 2,No,,,Yes,Yes,,,6 MB,16 MB,4 nm,AMD,256 GB,Zen 4,Boxed,100-100001591BOX,4.7 GHz,4.2 GHz,AMD Ryzen 5,Yes,AM5,65 W,12,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 5 7600X3D 4.1 GHz 6-Core,https://pcpartpicker.com/product/RVhv6h/amd-ryzen-5-7600x3d-41-ghz-6-core-processor-100-100001721wof,6,Raphael,Yes,,,No,No,,Radeon,6 MB,96 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100001721WOF,4.7 GHz,4.1 GHz,AMD Ryzen 5,Yes,AM5,65 W,12,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,Intel Core i5-14400 2.5 GHz 10-Core,https://pcpartpicker.com/product/37qrxr/intel-core-i5-14400-25-ghz-10-core-processor-bx8071514400,10,Raptor Lake Refresh,Yes,3.5 GHz,1.8 GHz,Yes,Yes,,Intel UHD Graphics 730,9.5 MB,20 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514400,4.7 GHz,2.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,65 W,16,
,Intel Core i7-9700F 3 GHz 8-Core,https://pcpartpicker.com/product/W4848d/intel-core-i7-9700f-3-ghz-8-core-processor-bx80684i79700f,8,Coffee Lake Refresh,No,,,Yes,Yes,,,2 MB,12 MB,14 nm,Intel,128 GB,Coffee Lake Refresh,Boxed,BX80684I79700F,4.7 GHz,3 GHz,Intel Core i7,No,LGA1151,65 W,8,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,Intel Core i7-14700K 3.4 GHz 20-Core,https://pcpartpicker.com/product/BmWJ7P/intel-core-i7-14700k-34-ghz-20-core-processor-bx8071514700k,20,Raptor Lake Refresh,Yes,4.3 GHz,2.5 GHz,No,No,,Intel UHD Graphics 770,28 MB,33 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514700K,5.6 GHz,3.4 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1700,125 W,28,
,Intel Core i7-14700K 3.4 GHz 20-Core,https://pcpartpicker.com/product/BmWJ7P/intel-core-i7-14700k-34-ghz-20-core-processor-bx8071514700k,20,Raptor Lake Refresh,Yes,4.3 GHz,2.5 GHz,No,No,,Intel UHD Graphics 770,28 MB,33 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514700K,5.6 GHz,3.4 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1700,125 W,28,
,Intel Core i9-14900K 3.2 GHz 24-Core,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,24,Raptor Lake Refresh,Yes,4.4 GHz,2.4 GHz,No,No,,Intel UHD Graphics 770,32 MB,36 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514900K,6 GHz,3.2 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1700,125 W,32,
,Intel Core i3-9100F 3.6 GHz Quad-Core,https://pcpartpicker.com/product/YTbwrH/intel-core-i3-9100f-36-ghz-quad-core-processor-bx80684i39100f,4,Coffee Lake Refresh,Yes,,,Yes,Yes,,,1 MB,6 MB,14 nm,Intel,64 GB,Coffee Lake Refresh,Boxed,BX80684i39100F,4.2 GHz,3.6 GHz,Intel Core i3,No,LGA1151,65 W,4,
,Intel Core i7-12700K 3.6 GHz 12-Core,https://pcpartpicker.com/product/ZbddnQ/intel-core-i7-12700k-36-ghz-8-core-processor-bx8071512700k,12,Alder Lake,No,3.8 GHz,2.7 GHz,No,No,,Intel UHD Graphics 770,12 MB,25 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512700K,5 GHz,3.6 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1700,125 W,20,
,Intel Core i7-7700 3.6 GHz Quad-Core,https://pcpartpicker.com/product/9mRFf7/intel-core-i7-7700-36ghz-quad-core-processor-bx80677i77700,4,Kaby Lake-S,No,,,Yes,Yes,,Intel HD Graphics 630,1 MB,8 MB,14 nm,Intel,64 GB,Kaby Lake,Boxed,BX80677I77700,4.2 GHz,3.6 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1151,65 W,8,
,Intel Core i3-12100F 3.3 GHz Quad-Core,https://pcpartpicker.com/product/grhFf7/intel-core-i3-12100f-33-ghz-quad-core-processor-bx8071512100f,4,Alder Lake,No,,,Yes,Yes,,,5 MB,12 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512100F,4.3 GHz,3.3 GHz,Intel Core i3,Yes: Hyper-Threading,LGA1700,58 W,8,
,Intel Core i5-4690 3.5 GHz Quad-Core,https://pcpartpicker.com/product/r8W9TW/intel-cpu-bx80646i54690,4,Haswell Refresh,No,,,Yes,Yes,,Intel HD Graphics 4600,1 MB,6 MB,22 nm,Intel,,Haswell Refresh,Boxed,BX80646I54690,3.9 GHz,3.5 GHz,Intel Core i5,No,LGA1150,84 W,4,
,Intel Core i5-13400F 2.5 GHz 10-Core,https://pcpartpicker.com/product/VNkWGX/intel-core-i5-13400f-25-ghz-10-core-processor-bx8071513400f,10,Raptor Lake,No,3.3 GHz,1.8 GHz,Yes,Yes,,,9.5 MB,20 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513400F,4.6 GHz,2.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,65 W,16,
,AMD Ryzen 5 5600GT 3.6 GHz 6-Core,https://pcpartpicker.com/product/7XGhP6/amd-ryzen-5-5600gt-36-ghz-6-core-processor-100-100001488box,6,Cezanne,No,,,Yes,Yes,,Radeon Vega 7,3 MB,16 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100001488BOX,4.6 GHz,3.6 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,Intel Core i9-14900F 2 GHz 24-Core,https://pcpartpicker.com/product/RNjRsY/intel-core-i9-14900f-2-ghz-24-core-processor-bx8071514900f,24,Raptor Lake Refresh,Yes,4.3 GHz,1.5 GHz,Yes,Yes,,,32 MB,36 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514900F,5.8 GHz,2 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1700,65 W,32,
,AMD Ryzen 5 4500 3.6 GHz 6-Core,https://pcpartpicker.com/product/m8BG3C/amd-ryzen-5-4500-36-ghz-6-core-processor-100-100000644box,6,Renoir-X,No,,,Yes,Yes,,,3 MB,8 MB,7 nm,AMD,128 GB,Zen 2,Boxed,100-100000644BOX,4.1 GHz,3.6 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,AMD Ryzen 5 1600 (14nm) 3.2 GHz 6-Core,https://pcpartpicker.com/product/mV98TW/amd-ryzen-5-1600-32ghz-6-core-processor-yd1600bbaebox,6,Summit Ridge,No,,,Yes,Yes,,,3 MB,16 MB,14 nm,AMD,,Zen,Boxed,YD1600BBAEBOX,3.6 GHz,3.2 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,Intel Core i3-8350K 4 GHz Quad-Core,https://pcpartpicker.com/product/fCs8TW/intel-core-i3-8350k-40ghz-quad-core-processor-bx80684i38350k,4,Coffee Lake,No,,,No,No,,Intel UHD Graphics 630,1 MB,8 MB,14 nm,Intel,64 GB,Coffee Lake,Boxed,BX80684I38350K,,4 GHz,Intel Core i3,No,LGA1151,91 W,4,
,Intel Core i7-13700KF 3.4 GHz 16-Core,https://pcpartpicker.com/product/w86p99/intel-core-i7-13700kf-34-ghz-16-core-processor-bx8071513700kf,16,Raptor Lake,No,4.2 GHz,2.5 GHz,No,No,,,24 MB,30 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513700KF; i7-13700KF,5.4 GHz,3.4 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1700,125 W,24,
,AMD A10-7870K 3.9 GHz Quad-Core,https://pcpartpicker.com/product/CjyxFT/amd-cpu-ad787kxdjcbox,4,Godavari,No,,,Yes,Yes,,Radeon R7 (on-die),4 MB,0 MB,28 nm,AMD,,Steamroller,Boxed,AD787KXDJCBOX,4.1 GHz,3.9 GHz,AMD A10,No,FM2+,95 W,4,
,Intel Core i3-3220T 2.8 GHz Dual-Core,https://pcpartpicker.com/product/yYsKHx/intel-cpu-bx80637i33220t,2,Ivy Bridge,No,,,Yes,Yes,,Intel HD Graphics 2500,0.5 MB,3 MB,22 nm,Intel,,Ivy Bridge,Boxed,BX80637i33220T,,2.8 GHz,Intel Core i3,Yes: Hyper-Threading,LGA1155,35 W,4,
,Intel Core i7-9700K 3.6 GHz 8-Core,https://pcpartpicker.com/product/WtyV3C/intel-core-i7-9700k-36ghz-8-core-processor-bx80684i79700k,8,Coffee Lake Refresh,No,,,No,No,,Intel UHD Graphics 630,2 MB,12 MB,14 nm,Intel,128 GB,Coffee Lake Refresh,Boxed,BX80684I79700K,4.9 GHz,3.6 GHz,Intel Core i7,No,LGA1151,95 W,8,
,Intel Core i5-13600KF 3.5 GHz 14-Core,https://pcpartpicker.com/product/GVM48d/intel-core-i5-13600kf-35-ghz-14-core-processor-bx8071513600kf,14,Raptor Lake,No,3.9 GHz,2.6 GHz,No,No,,,20 MB,24 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513600KF; i5-13600KF,5.1 GHz,3.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,125 W,20,
,Intel Core i7-11700K 3.6 GHz 8-Core,https://pcpartpicker.com/product/VW3gXL/intel-core-i7-11700k-36-ghz-8-core-processor-bx8070811700k,8,Rocket Lake-S,No,,,No,No,,Intel UHD Graphics 750,4 MB,16 MB,14 nm,Intel,128 GB,Rocket Lake,Boxed,BX8070811700K,5 GHz,3.6 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1200,125 W,16,
,Intel Core i5-13600K 3.5 GHz 14-Core,https://pcpartpicker.com/product/LfNxFT/intel-core-i5-13600k-35-ghz-14-core-processor-bx8071513600k,14,Raptor Lake,Yes,3.9 GHz,2.6 GHz,No,No,,Intel UHD Graphics 770,20 MB,24 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513600K; i5-13600K,5.1 GHz,3.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,125 W,20,
,AMD Ryzen 5 5600G 3.9 GHz 6-Core,https://pcpartpicker.com/product/sYmmP6/amd-ryzen-5-5600g-39-ghz-6-core-processor-100-100000252box,6,Cezanne,No,,,Yes,Yes,,Radeon Vega 7,3 MB,16 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000252BOX,4.4 GHz,3.9 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,Intel Core i5-14600K 3.5 GHz 14-Core,https://pcpartpicker.com/product/jXFmP6/intel-core-i5-14600k-35-ghz-14-core-processor-bx8071514600k,14,Raptor Lake Refresh,Yes,4 GHz,2.6 GHz,No,No,,Intel UHD Graphics 770,20 MB,24 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514600K,5.3 GHz,3.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,125 W,20,
,Intel Core i9-10850K 3.6 GHz 10-Core,https://pcpartpicker.com/product/nGFKHx/intel-core-i9-10850k-36-ghz-10-core-processor-bx8070110850k,10,Comet Lake,No,,,No,No,,Intel UHD Graphics 630,2.5 MB,20 MB,14 nm,Intel,128 GB,Comet Lake,Boxed,BX8070110850K,5.2 GHz,3.6 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1200,125 W,20,
,Intel Core i7-12700K 3.6 GHz 12-Core,https://pcpartpicker.com/product/ZbddnQ/intel-core-i7-12700k-36-ghz-8-core-processor-bx8071512700k,12,Alder Lake,No,3.8 GHz,2.7 GHz,No,No,,Intel UHD Graphics 770,12 MB,25 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512700K,5 GHz,3.6 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1700,125 W,20,
,AMD Ryzen 9 3950X 3.5 GHz 16-Core,https://pcpartpicker.com/product/t7CFf7/amd-ryzen-9-3950x-35-ghz-16-core-processor-100-100000051wof,16,Matisse,No,,,No,No,,,8 MB,64 MB,7 nm,AMD,128 GB,Zen 2,Boxed,100-100000051WOF,4.7 GHz,3.5 GHz,AMD Ryzen 9,Yes,AM4,105 W,32,
,Intel Core i5-13600KF 3.5 GHz 14-Core,https://pcpartpicker.com/product/GVM48d/intel-core-i5-13600kf-35-ghz-14-core-processor-bx8071513600kf,14,Raptor Lake,No,3.9 GHz,2.6 GHz,No,No,,,20 MB,24 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513600KF; i5-13600KF,5.1 GHz,3.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,125 W,20,
,Intel Core i7-12700K 3.6 GHz 12-Core,https://pcpartpicker.com/product/ZbddnQ/intel-core-i7-12700k-36-ghz-8-core-processor-bx8071512700k,12,Alder Lake,No,3.8 GHz,2.7 GHz,No,No,,Intel UHD Graphics 770,12 MB,25 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512700K,5 GHz,3.6 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1700,125 W,20,
,Intel Core i7-13700KF 3.4 GHz 16-Core,https://pcpartpicker.com/product/w86p99/intel-core-i7-13700kf-34-ghz-16-core-processor-bx8071513700kf,16,Raptor Lake,No,4.2 GHz,2.5 GHz,No,No,,,24 MB,30 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513700KF; i7-13700KF,5.4 GHz,3.4 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1700,125 W,24,
,Intel Core i5-13600K 3.5 GHz 14-Core,https://pcpartpicker.com/product/LfNxFT/intel-core-i5-13600k-35-ghz-14-core-processor-bx8071513600k,14,Raptor Lake,Yes,3.9 GHz,2.6 GHz,No,No,,Intel UHD Graphics 770,20 MB,24 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513600K; i5-13600K,5.1 GHz,3.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,125 W,20,
,AMD Ryzen 7 2700X 3.7 GHz 8-Core,https://pcpartpicker.com/product/bddxFT/amd-ryzen-7-2700x-37ghz-8-core-processor-yd270xbgafbox,8,Pinnacle Ridge,No,,,Yes,Yes,,,4 MB,16 MB,12 nm,AMD,64 GB,Zen+,Boxed,YD270XBGAFBOX,4.3 GHz,3.7 GHz,AMD Ryzen 7,Yes,AM4,105 W,16,
,Intel Core i5-7500 3.4 GHz Quad-Core,https://pcpartpicker.com/product/QbGj4D/intel-core-i5-7500-34ghz-quad-core-processor-bx80677i57500,4,Kaby Lake-S,No,,,Yes,Yes,,Intel HD Graphics 630,1 MB,6 MB,14 nm,Intel,64 GB,Kaby Lake,Boxed,BX80677I57500,3.8 GHz,3.4 GHz,Intel Core i5,No,LGA1151,65 W,4,
,Intel Core i5-3450 3.1 GHz Quad-Core,https://pcpartpicker.com/product/kxzv6h/intel-cpu-bx80637i53450,4,Ivy Bridge,No,,,Yes,Yes,,Intel HD Graphics 2500,1 MB,6 MB,22 nm,Intel,,Ivy Bridge,Boxed,BX80637I53450; BX806237I53450,,3.1 GHz,Intel Core i5,No,LGA1155,77 W,4,
,AMD Ryzen 5 1600X 3.6 GHz 6-Core,https://pcpartpicker.com/product/8hwqqs/amd-ryzen-5-1600x-36ghz-6-core-processor-yd160xbcaewof,6,Summit Ridge,No,,,No,No,,,3 MB,16 MB,14 nm,AMD,,Zen,Boxed,YD160XBCAEWOF,4 GHz,3.6 GHz,AMD Ryzen 5,Yes,AM4,95 W,12,
,Intel Core i7-6700K 4 GHz Quad-Core,https://pcpartpicker.com/product/tdmxFT/intel-cpu-bx80662i76700k,4,Skylake-S,No,,,No,No,,Intel HD Graphics 530,1 MB,8 MB,14 nm,Intel,64 GB,Skylake,Boxed,BX80662I76700K,4.2 GHz,4 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1151,91 W,8,
,Intel Core i5-6600 3.3 GHz Quad-Core,https://pcpartpicker.com/product/m9Gj4D/intel-cpu-bx80662i56600,4,Skylake-S,No,,,Yes,Yes,,Intel HD Graphics 530,1 MB,6 MB,14 nm,Intel,64 GB,Skylake,Boxed,BX80662I56600,3.9 GHz,3.3 GHz,Intel Core i5,No,LGA1151,65 W,4,
,Intel Core i3-12100F 3.3 GHz Quad-Core,https://pcpartpicker.com/product/grhFf7/intel-core-i3-12100f-33-ghz-quad-core-processor-bx8071512100f,4,Alder Lake,No,,,Yes,Yes,,,5 MB,12 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512100F,4.3 GHz,3.3 GHz,Intel Core i3,Yes: Hyper-Threading,LGA1700,58 W,8,
,AMD Ryzen 5 3600 3.6 GHz 6-Core,https://pcpartpicker.com/product/9twypg/amd-ryzen-5-3600-36-ghz-6-core-processor-100-100000031sbx,6,Matisse,No,,,Yes,Yes,,,3 MB,32 MB,7 nm,AMD,128 GB,Zen 2,Boxed,100-100000031SBX,4.2 GHz,3.6 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
