component_type,component_name,component_link,Core_Count,Core_Family,ECC_Support,Efficiency_Core_Boost_Clock,Efficiency_Core_Clock,Includes_CPU_Cooler,Includes_Cooler,Inferred_,Integrated_Graphics,L2_Cache,L3_Cache,Lithography,Manufacturer,Maximum_Supported_Memory,Microarchitecture,Packaging,Part_#_#,Performance_Core_Boost_Clock,Performance_Core_Clock,Series,Simultaneous_Multithreading,Socket,TDP,Thread_Count,
,Intel Core i5-13600K 3.5 GHz 14-Core,https://pcpartpicker.com/product/LfNxFT/intel-core-i5-13600k-35-ghz-14-core-processor-bx8071513600k,14,Raptor Lake,Yes,3.9 GHz,2.6 GHz,No,No,,Intel UHD Graphics 770,20 MB,24 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513600K; i5-13600K,5.1 GHz,3.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,125 W,20,
,Intel Core i7-11700 2.5 GHz 8-Core,https://pcpartpicker.com/product/7RTp99/intel-core-i7-11700-25-ghz-8-core-processor-bx8070811700,8,Rocket Lake-S,No,,,Yes,Yes,,Intel UHD Graphics 750,4 MB,16 MB,14 nm,Intel,128 GB,Rocket Lake,Boxed,BX8070811700,4.9 GHz,2.5 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1200,65 W,16,
,Intel Core i9-14900KS 3.2 GHz 24-Core,https://pcpartpicker.com/product/3ZmNnQ/intel-core-i9-14900ks-32-ghz-24-core-processor-bx8071514900ks,24,Raptor Lake Refresh,Yes,4.5 GHz,2.4 GHz,No,No,,Intel UHD Graphics 770,32 MB,36 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514900KS,6.2 GHz,3.2 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1700,150 W,32,
,Intel Core i9-10900 2.8 GHz 10-Core,https://pcpartpicker.com/product/wW7p99/intel-core-i9-10900-28-ghz-10-core-processor-bx8070110900,10,Comet Lake,No,,,Yes,Yes,,Intel UHD Graphics 630,2.5 MB,20 MB,14 nm,Intel,128 GB,Comet Lake,Boxed,BX8070110900,5.2 GHz,2.8 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1200,65 W,20,
,Intel Core Ultra 9 285K 3.7 GHz 24-Core,https://pcpartpicker.com/product/VHYRsY/intel-core-ultra-9-285k-37-ghz-24-core-processor-bx80768285k,24,Arrow Lake,Yes,4.6 GHz,3.2 GHz,No,No,,Intel Xe,40 MB,36 MB,3 nm,Intel,256 GB,Arrow Lake,Boxed,BX80768285K,5.7 GHz,3.7 GHz,Intel Core Ultra 9,No,LGA1851,125 W,24,
,AMD Ryzen 9 5900XT 3.3 GHz 16-Core,https://pcpartpicker.com/product/nYvD4D/amd-ryzen-9-5900xt-33-ghz-16-core-processor-100-100001581wof,16,Vermeer,No,,,No,No,,,8 MB,64 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100001581WOF,4.8 GHz,3.3 GHz,AMD Ryzen 9,Yes,AM4,105 W,32,
,AMD Ryzen 5 8600G 4.3 GHz 6-Core,https://pcpartpicker.com/product/QqyH99/amd-ryzen-5-8600g-43-ghz-6-core-processor-100-100001237box,6,Phoenix 1,No,,,Yes,Yes,,Radeon 760M,6 MB,16 MB,4 nm,AMD,,Zen 4,Boxed,100-100001237BOX,5 GHz,4.3 GHz,AMD Ryzen 5,Yes,AM5,65 W,12,
,AMD Ryzen 5 4600G 3.7 GHz 6-Core,https://pcpartpicker.com/product/CNVmP6/amd-ryzen-5-4600g-37-ghz-6-core-processor-100-100000147box,6,Renoir,No,,,Yes,Yes,,Radeon Vega 7,3 MB,8 MB,7 nm,AMD,128 GB,Zen 2,Boxed,100-100000147BOX,4.2 GHz,3.7 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,Intel Core i7-3770 3.4 GHz Quad-Core,https://pcpartpicker.com/product/Vjzv6h/intel-cpu-bx80637i73770,4,Ivy Bridge,No,,,Yes,Yes,,Intel HD Graphics 4000,1 MB,8 MB,22 nm,Intel,,Ivy Bridge,Boxed,BX80637I73770,,3.4 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1155,77 W,8,
,Intel Core i7-10700KF 3.8 GHz 8-Core,https://pcpartpicker.com/product/sT3mP6/intel-core-i7-10700kf-38-ghz-8-core-processor-bx8070110700kf,8,Comet Lake,No,,,No,No,,,2 MB,16 MB,14 nm,Intel,128 GB,Comet Lake,Boxed,BX8070110700KF,5.1 GHz,3.8 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1200,125 W,16,
,Intel Core i5-11600K 3.9 GHz 6-Core,https://pcpartpicker.com/product/RK3gXL/intel-core-i5-11600k-39-ghz-6-core-processor-bx8070811600k,6,Rocket Lake-S,No,,,No,No,,Intel UHD Graphics 750,3 MB,12 MB,14 nm,Intel,128 GB,Rocket Lake,Boxed,BX8070811600K,4.9 GHz,3.9 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1200,125 W,12,
,AMD Ryzen 3 3200G 3.6 GHz Quad-Core,https://pcpartpicker.com/product/J8drxr/amd-ryzen-3-3200g-36-ghz-quad-core-processor-yd3200c5fhbox,4,Picasso,No,,,Yes,Yes,,Radeon Vega 8,2 MB,4 MB,12 nm,AMD,64 GB,Zen+,Boxed,Ryzen 3 3200G; YD3200C5FHBOX,4 GHz,3.6 GHz,AMD Ryzen 3,No,AM4,65 W,4,
,Intel Core i5-10400F 2.9 GHz 6-Core,https://pcpartpicker.com/product/vrhmP6/intel-core-i5-10400f-29-ghz-6-core-processor-bx8070110400f,6,Comet Lake,No,,,Yes,Yes,,,1.5 MB,12 MB,14 nm,Intel,128 GB,Comet Lake,Boxed,BX8070110400F,4.3 GHz,2.9 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1200,65 W,12,
,Intel Core i5-11400 2.6 GHz 6-Core,https://pcpartpicker.com/product/92VmP6/intel-core-i5-11400-26-ghz-6-core-processor-bx8070811400,6,Rocket Lake-S,No,,,Yes,Yes,,Intel UHD Graphics 730,3 MB,12 MB,14 nm,Intel,128 GB,Rocket Lake,Boxed,BX8070811400,4.4 GHz,2.6 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1200,65 W,12,
,Intel Xeon E5-2680 V4 2.4 GHz 14-Core,https://pcpartpicker.com/product/zqmxFT/intel-cpu-bx80660e52680v4,14,Broadwell-EP,Yes,,,No,No,,,3.5 MB,35 MB,14 nm,Intel,1536 GB,Broadwell,Boxed,BX80660E52680V4,3.3 GHz,2.4 GHz,Intel Xeon E5,Yes: Hyper-Threading,LGA2011-3,120 W,28,
,Intel Core i5-8400 2.8 GHz 6-Core,https://pcpartpicker.com/product/LHYWGX/intel-core-i5-8400-28ghz-6-core-processor-bx80684i58400,6,Coffee Lake,No,,,Yes,Yes,,Intel UHD Graphics 630,1.5 MB,9 MB,14 nm,Intel,128 GB,Coffee Lake,Boxed,BX80684I58400,4 GHz,2.8 GHz,Intel Core i5,No,LGA1151,65 W,6,
,AMD Ryzen 7 8700F 4.1 GHz 8-Core,https://pcpartpicker.com/product/CsGhP6/amd-ryzen-7-8700f-41-ghz-8-core-processor-100-100001590box,8,Phoenix 1,No,,,Yes,Yes,,,8 MB,16 MB,4 nm,AMD,256 GB,Zen 4,Boxed,100-100001590BOX,5 GHz,4.1 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,96 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000910WOF,5 GHz,4.2 GHz,AMD Ryzen 7,Yes,AM5,120 W,16,
,AMD Ryzen 5 5600X 3.7 GHz 6-Core,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,6,Vermeer,No,,,Yes,Yes,,None,3 MB,32 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000065BOX,4.6 GHz,3.7 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,Intel Core i5-12400F 2.5 GHz 6-Core,https://pcpartpicker.com/product/pQNxFT/intel-core-i5-12400f-25-ghz-6-core-processor-bx8071512400f,6,Alder Lake,No,,,Yes,Yes,,None,7.5 MB,18 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512400F,4.4 GHz,2.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,65 W,12,
,AMD Ryzen 7 7700X 4.5 GHz 8-Core,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000591WOF,5.4 GHz,4.5 GHz,AMD Ryzen 7,Yes,AM5,105 W,16,
,Intel Core i7-14700KF 3.4 GHz 20-Core,https://pcpartpicker.com/product/TWP8TW/intel-core-i7-14700kf-34-ghz-20-core-processor-bx8071514700kf,20,Raptor Lake Refresh,Yes,4.3 GHz,2.5 GHz,No,No,,None,28 MB,33 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514700KF,5.6 GHz,3.4 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1700,125 W,28,
,AMD Ryzen 7 7700X 4.5 GHz 8-Core,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000591WOF,5.4 GHz,4.5 GHz,AMD Ryzen 7,Yes,AM5,105 W,16,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 7 7700X 4.5 GHz 8-Core,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000591WOF,5.4 GHz,4.5 GHz,AMD Ryzen 7,Yes,AM5,105 W,16,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 5 3600 3.6 GHz 6-Core,https://pcpartpicker.com/product/9nm323/amd-ryzen-5-3600-36-thz-6-core-processor-100-100000031box,6,Matisse,No,,,Yes,Yes,,None,3 MB,32 MB,7 nm,AMD,128 GB,Zen 2,Boxed,Ryzen 5 3600; 100-100000031BOX,4.2 GHz,3.6 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,Intel Core i9-14900K 3.2 GHz 24-Core,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,24,Raptor Lake Refresh,Yes,4.4 GHz,2.4 GHz,No,No,,Intel UHD Graphics 770,32 MB,36 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514900K,6 GHz,3.2 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1700,125 W,32,
,Intel Core i9-14900K 3.2 GHz 24-Core,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,24,Raptor Lake Refresh,Yes,4.4 GHz,2.4 GHz,No,No,,Intel UHD Graphics 770,32 MB,36 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514900K,6 GHz,3.2 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1700,125 W,32,
,Intel Core i9-14900K 3.2 GHz 24-Core,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,24,Raptor Lake Refresh,Yes,4.4 GHz,2.4 GHz,No,No,,Intel UHD Graphics 770,32 MB,36 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514900K,6 GHz,3.2 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1700,125 W,32,
,AMD Ryzen 5 3500 3.6 GHz 6-Core,https://pcpartpicker.com/product/ZKqBD3/amd-ryzen-5-3500-36-ghz-6-core-processor-100-000000050,6,Matisse,No,,,Yes,Yes,,None,3 MB,32 MB,7 nm,AMD,128 GB,Zen 2,Boxed,100-000000050,4.1 GHz,3.6 GHz,AMD Ryzen 5,No,AM4,65 W,6,
,AMD Ryzen 5 7600X3D 4.1 GHz 6-Core,https://pcpartpicker.com/product/RVhv6h/amd-ryzen-5-7600x3d-41-ghz-6-core-processor-100-100001721wof,6,Raphael,Yes,,,No,No,,Radeon,6 MB,96 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100001721WOF,4.7 GHz,4.1 GHz,AMD Ryzen 5,Yes,AM5,65 W,12,
,AMD Ryzen 7 7700X 4.5 GHz 8-Core,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000591WOF,5.4 GHz,4.5 GHz,AMD Ryzen 7,Yes,AM5,105 W,16,
,AMD Ryzen 7 7700X 4.5 GHz 8-Core,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000591WOF,5.4 GHz,4.5 GHz,AMD Ryzen 7,Yes,AM5,105 W,16,
,AMD Ryzen 9 7900X 4.7 GHz 12-Core,https://pcpartpicker.com/product/bwxRsY/amd-ryzen-9-7900x-47-ghz-12-core-processor-100-100000589wof,12,Raphael,Yes,,,No,No,,Radeon,12 MB,64 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000589WOF,5.6 GHz,4.7 GHz,AMD Ryzen 9,Yes,AM5,170 W,24,
,AMD Ryzen 7 7700X 4.5 GHz 8-Core,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000591WOF,5.4 GHz,4.5 GHz,AMD Ryzen 7,Yes,AM5,105 W,16,
,AMD Ryzen 7 7700X 4.5 GHz 8-Core,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000591WOF,5.4 GHz,4.5 GHz,AMD Ryzen 7,Yes,AM5,105 W,16,
,AMD Ryzen 5 7500F 3.7 GHz 6-Core OEM/Tray,https://pcpartpicker.com/product/ms4Zxr/amd-ryzen-5-7500f-37-ghz-6-core-oemtray-processor-100-000000597,6,Raphael,Yes,,,No,No,,None,6 MB,32 MB,5 nm,AMD,128 GB,Zen 4,OEM/Tray,100-000000597,5 GHz,3.7 GHz,AMD Ryzen 5,Yes,AM5,65 W,12,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 7 5700X3D 3 GHz 8-Core,https://pcpartpicker.com/product/3ZKscf/amd-ryzen-7-5700x3d-3-ghz-8-core-processor-100-100001503wof,8,Vermeer-X,No,,,No,No,,None,4 MB,96 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100001503WOF,4.1 GHz,3 GHz,AMD Ryzen 7,Yes,AM4,105 W,16,
,Intel Core i7-11700KF 3.6 GHz 8-Core,https://pcpartpicker.com/product/Fgt9TW/intel-core-i7-11700kf-36-ghz-8-core-processor-bx8070811700kf,8,Rocket Lake-S,No,,,No,No,,None,4 MB,16 MB,14 nm,Intel,128 GB,Rocket Lake,Boxed,BX8070811700KF,5 GHz,3.6 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1200,125 W,16,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 9 9900X 4.4 GHz 12-Core,https://pcpartpicker.com/product/Z6GhP6/amd-ryzen-9-9900x-44-ghz-12-core-processor-100-100000662wof,12,Granite Ridge,Yes,,,No,No,,Radeon,12 MB,64 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100000662WOF,5.6 GHz,4.4 GHz,AMD Ryzen 9,Yes,AM5,120 W,24,
,AMD Ryzen 9 5900X 3.7 GHz 12-Core,https://pcpartpicker.com/product/KwLwrH/amd-ryzen-9-5900x-37-ghz-12-core-processor-100-100000061wof,12,Vermeer,No,,,No,No,,None,6 MB,64 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000061WOF,4.8 GHz,3.7 GHz,AMD Ryzen 9,Yes,AM4,105 W,24,
,AMD Ryzen 7 5700X3D 3 GHz 8-Core,https://pcpartpicker.com/product/3ZKscf/amd-ryzen-7-5700x3d-3-ghz-8-core-processor-100-100001503wof,8,Vermeer-X,No,,,No,No,,None,4 MB,96 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100001503WOF,4.1 GHz,3 GHz,AMD Ryzen 7,Yes,AM4,105 W,16,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 7 7700X 4.5 GHz 8-Core,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000591WOF,5.4 GHz,4.5 GHz,AMD Ryzen 7,Yes,AM5,105 W,16,
,AMD Ryzen 9 9900X 4.4 GHz 12-Core,https://pcpartpicker.com/product/Z6GhP6/amd-ryzen-9-9900x-44-ghz-12-core-processor-100-100000662wof,12,Granite Ridge,Yes,,,No,No,,Radeon,12 MB,64 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100000662WOF,5.6 GHz,4.4 GHz,AMD Ryzen 9,Yes,AM5,120 W,24,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 9 9900X 4.4 GHz 12-Core,https://pcpartpicker.com/product/Z6GhP6/amd-ryzen-9-9900x-44-ghz-12-core-processor-100-100000662wof,12,Granite Ridge,Yes,,,No,No,,Radeon,12 MB,64 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100000662WOF,5.6 GHz,4.4 GHz,AMD Ryzen 9,Yes,AM5,120 W,24,
,AMD Ryzen 9 7900X 4.7 GHz 12-Core,https://pcpartpicker.com/product/bwxRsY/amd-ryzen-9-7900x-47-ghz-12-core-processor-100-100000589wof,12,Raphael,Yes,,,No,No,,Radeon,12 MB,64 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000589WOF,5.6 GHz,4.7 GHz,AMD Ryzen 9,Yes,AM5,170 W,24,
,AMD Ryzen 9 5900X 3.7 GHz 12-Core,https://pcpartpicker.com/product/KwLwrH/amd-ryzen-9-5900x-37-ghz-12-core-processor-100-100000061wof,12,Vermeer,No,,,No,No,,None,6 MB,64 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000061WOF,4.8 GHz,3.7 GHz,AMD Ryzen 9,Yes,AM4,105 W,24,
,AMD Ryzen 7 7700X 4.5 GHz 8-Core,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000591WOF,5.4 GHz,4.5 GHz,AMD Ryzen 7,Yes,AM5,105 W,16,
,Intel Core i5-12600KF 3.7 GHz 10-Core,https://pcpartpicker.com/product/Tk8bt6/intel-core-i5-12600kf-37-ghz-6-core-processor-bx8071512600kf,10,Alder Lake,No,3.6 GHz,2.8 GHz,No,No,,None,9.5 MB,20 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512600KF,4.9 GHz,3.7 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,125 W,16,
,Intel Core i5-12600KF 3.7 GHz 10-Core,https://pcpartpicker.com/product/Tk8bt6/intel-core-i5-12600kf-37-ghz-6-core-processor-bx8071512600kf,10,Alder Lake,No,3.6 GHz,2.8 GHz,No,No,,None,9.5 MB,20 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512600KF,4.9 GHz,3.7 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,125 W,16,
,Intel Core i5-14400F 2.5 GHz 10-Core,https://pcpartpicker.com/product/QkP8TW/intel-core-i5-14400f-25-ghz-10-core-processor-bx8071514400f,10,Raptor Lake Refresh,Yes,3.5 GHz,1.8 GHz,Yes,Yes,,None,9.5 MB,20 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514400F,4.7 GHz,2.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,65 W,16,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,Intel Core i5-12400F 2.5 GHz 6-Core,https://pcpartpicker.com/product/pQNxFT/intel-core-i5-12400f-25-ghz-6-core-processor-bx8071512400f,6,Alder Lake,No,,,Yes,Yes,,None,7.5 MB,18 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512400F,4.4 GHz,2.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,65 W,12,
