component_type,component_name,component_link,Core_Count,Core_Family,ECC_Support,Efficiency_Core_Boost_Clock,Efficiency_Core_Clock,Includes_CPU_Cooler,Includes_Cooler,Inferred_,Integrated_Graphics,L2_Cache,L3_Cache,Lithography,Manufacturer,Maximum_Supported_Memory,Microarchitecture,Packaging,Part_#_#,Performance_Core_Boost_Clock,Performance_Core_Clock,Series,Simultaneous_Multithreading,Socket,TDP,Thread_Count,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 5 7600X3D 4.1 GHz 6-Core,https://pcpartpicker.com/product/RVhv6h/amd-ryzen-5-7600x3d-41-ghz-6-core-processor-100-100001721wof,6,Raphael,Yes,,,No,No,,Radeon,6 MB,96 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100001721WOF,4.7 GHz,4.1 GHz,AMD Ryzen 5,Yes,AM5,65 W,12,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,Intel Core i9-14900K 3.2 GHz 24-Core,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,24,Raptor Lake Refresh,Yes,4.4 GHz,2.4 GHz,No,No,,Intel UHD Graphics 770,32 MB,36 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514900K,6 GHz,3.2 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1700,125 W,32,
,Intel Core i5-7600K 3.8 GHz Quad-Core,https://pcpartpicker.com/product/dQM323/intel-core-i5-7600k-38ghz-quad-core-processor-bx80677i57600k,4,Kaby Lake-S,No,,,No,No,,Intel HD Graphics 630,1 MB,6 MB,14 nm,Intel,64 GB,Kaby Lake,Boxed,BX80677I57600K,4.2 GHz,3.8 GHz,Intel Core i5,No,LGA1151,91 W,4,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,Intel Core i5-14400F 2.5 GHz 10-Core,https://pcpartpicker.com/product/QkP8TW/intel-core-i5-14400f-25-ghz-10-core-processor-bx8071514400f,10,Raptor Lake Refresh,Yes,3.5 GHz,1.8 GHz,Yes,Yes,,None,9.5 MB,20 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514400F,4.7 GHz,2.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,65 W,16,
,Intel Core i5-12600K 3.7 GHz 10-Core,https://pcpartpicker.com/product/BB4Ycf/intel-core-i5-12600k-37-ghz-6-core-processor-bx8071512600k,10,Alder Lake,No,3.6 GHz,2.8 GHz,No,No,,Intel UHD Graphics 770,9.5 MB,20 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512600K,4.9 GHz,3.7 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,125 W,16,
,Intel Core i5-13400F 2.5 GHz 10-Core,https://pcpartpicker.com/product/VNkWGX/intel-core-i5-13400f-25-ghz-10-core-processor-bx8071513400f,10,Raptor Lake,No,3.3 GHz,1.8 GHz,Yes,Yes,,None,9.5 MB,20 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513400F,4.6 GHz,2.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,65 W,16,
,Intel Core i5-13400F 2.5 GHz 10-Core,https://pcpartpicker.com/product/VNkWGX/intel-core-i5-13400f-25-ghz-10-core-processor-bx8071513400f,10,Raptor Lake,No,3.3 GHz,1.8 GHz,Yes,Yes,,None,9.5 MB,20 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513400F,4.6 GHz,2.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,65 W,16,
,Intel Core Ultra 9 285K 3.7 GHz 24-Core,https://pcpartpicker.com/product/VHYRsY/intel-core-ultra-9-285k-37-ghz-24-core-processor-bx80768285k,24,Arrow Lake,Yes,4.6 GHz,3.2 GHz,No,No,,Intel Xe,40 MB,36 MB,3 nm,Intel,256 GB,Arrow Lake,Boxed,BX80768285K,5.7 GHz,3.7 GHz,Intel Core Ultra 9,No,LGA1851,125 W,24,
,AMD Ryzen 5 8600G 4.3 GHz 6-Core,https://pcpartpicker.com/product/QqyH99/amd-ryzen-5-8600g-43-ghz-6-core-processor-100-100001237box,6,Phoenix 1,No,,,Yes,Yes,,Radeon 760M,6 MB,16 MB,4 nm,AMD,,Zen 4,Boxed,100-100001237BOX,5 GHz,4.3 GHz,AMD Ryzen 5,Yes,AM5,65 W,12,
,AMD Ryzen 5 4600G 3.7 GHz 6-Core,https://pcpartpicker.com/product/CNVmP6/amd-ryzen-5-4600g-37-ghz-6-core-processor-100-100000147box,6,Renoir,No,,,Yes,Yes,,Radeon Vega 7,3 MB,8 MB,7 nm,AMD,128 GB,Zen 2,Boxed,100-100000147BOX,4.2 GHz,3.7 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,Intel Core i5-11600K 3.9 GHz 6-Core,https://pcpartpicker.com/product/RK3gXL/intel-core-i5-11600k-39-ghz-6-core-processor-bx8070811600k,6,Rocket Lake-S,No,,,No,No,,Intel UHD Graphics 750,3 MB,12 MB,14 nm,Intel,128 GB,Rocket Lake,Boxed,BX8070811600K,4.9 GHz,3.9 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1200,125 W,12,
,AMD Ryzen 3 3200G 3.6 GHz Quad-Core,https://pcpartpicker.com/product/J8drxr/amd-ryzen-3-3200g-36-ghz-quad-core-processor-yd3200c5fhbox,4,Picasso,No,,,Yes,Yes,,Radeon Vega 8,2 MB,4 MB,12 nm,AMD,64 GB,Zen+,Boxed,Ryzen 3 3200G; YD3200C5FHBOX,4 GHz,3.6 GHz,AMD Ryzen 3,No,AM4,65 W,4,
,Intel Core i5-10400F 2.9 GHz 6-Core,https://pcpartpicker.com/product/vrhmP6/intel-core-i5-10400f-29-ghz-6-core-processor-bx8070110400f,6,Comet Lake,No,,,Yes,Yes,,None,1.5 MB,12 MB,14 nm,Intel,128 GB,Comet Lake,Boxed,BX8070110400F,4.3 GHz,2.9 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1200,65 W,12,
,Intel Core i3-10100 3.6 GHz Quad-Core,https://pcpartpicker.com/product/qtqBD3/intel-core-i3-10100-36-ghz-quad-core-processor-bx8070110100,4,Comet Lake,No,,,Yes,Yes,,Intel UHD Graphics 630,1 MB,6 MB,14 nm,Intel,128 GB,Comet Lake,Boxed,BX8070110100,4.3 GHz,3.6 GHz,Intel Core i3,Yes: Hyper-Threading,LGA1200,65 W,8,
,AMD Ryzen 3 2200G 3.5 GHz Quad-Core,https://pcpartpicker.com/product/RkJtt6/amd-ryzen-3-2200g-35ghz-quad-core-processor-yd2200c5fbbox,4,Raven Ridge,No,,,Yes,Yes,,Radeon Vega 8,2 MB,4 MB,14 nm,AMD,,Zen,Boxed,YD2200C5FBBOX,3.7 GHz,3.5 GHz,AMD Ryzen 3,No,AM4,65 W,4,
,AMD Ryzen 5 5600XT 3.7 GHz 6-Core,https://pcpartpicker.com/product/GY6NnQ/amd-ryzen-5-5600xt-37-ghz-6-core-processor-100-100001585box,6,Vermeer,Yes,,,Yes,Yes,,None,3 MB,32 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100001585BOX,4.7 GHz,3.7 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,Intel Core i7-4790K 4 GHz Quad-Core,https://pcpartpicker.com/product/6vzv6h/intel-cpu-bx80646i74790k,4,Haswell Refresh,No,,,Yes,Yes,,Intel HD Graphics 4600,1 MB,8 MB,22 nm,Intel,,Haswell Refresh,Boxed,BX80646I74790K,4.4 GHz,4 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1150,88 W,8,
,Intel Core i5-4460 3.2 GHz Quad-Core,https://pcpartpicker.com/product/F63RsY/intel-cpu-bx80646i54460,4,Haswell Refresh,No,,,Yes,Yes,,Intel HD Graphics 4600,1 MB,6 MB,22 nm,Intel,,Haswell Refresh,Boxed,BX80646I54460,3.4 GHz,3.2 GHz,Intel Core i5,No,LGA1150,84 W,4,
,Intel Core i9-12900KF 3.2 GHz 16-Core,https://pcpartpicker.com/product/2sstt6/intel-core-i9-12900kf-32-ghz-8-core-processor-bx8071512900kf,16,Alder Lake,No,3.9 GHz,2.4 GHz,No,No,,None,14 MB,30 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512900KF,5.2 GHz,3.2 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1700,125 W,24,
,Intel Core i7-8700K 3.7 GHz 6-Core OEM/Tray,https://pcpartpicker.com/product/cjPzK8/intel-core-i7-8700k-37ghz-6-core-processor-cm8068403358220,6,Coffee Lake,No,,,No,No,,Intel UHD Graphics 630,1.5 MB,12 MB,14 nm,Intel,128 GB,Coffee Lake,OEM/Tray,CM8068403358220,4.7 GHz,3.7 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1151,95 W,12,
,Intel Core i5-6600K 3.5 GHz Quad-Core,https://pcpartpicker.com/product/gx648d/intel-cpu-bx80662i56600k,4,Skylake-S,No,,,No,No,,Intel HD Graphics 530,1 MB,6 MB,14 nm,Intel,,Skylake,Boxed,BX80662I56600K,3.9 GHz,3.5 GHz,Intel Core i5,No,LGA1151,91 W,4,
,AMD Ryzen 5 3600X 3.8 GHz 6-Core,https://pcpartpicker.com/product/3WYLrH/amd-ryzen-5-3600x-38-ghz-6-core-processor-100-100000022box,6,Matisse,No,,,Yes,Yes,,None,3 MB,32 MB,7 nm,AMD,128 GB,Zen 2,Boxed,Ryzen 5 3600X; 100-100000022BOX,4.4 GHz,3.8 GHz,AMD Ryzen 5,Yes,AM4,95 W,12,
,Intel Core i7-6800K 3.4 GHz 6-Core,https://pcpartpicker.com/product/Td98TW/intel-cpu-bx80671i76800k,6,Broadwell-E,No,,,No,No,,None,1.5 MB,15 MB,14 nm,Intel,,Broadwell,Boxed,BX80671I76800K,3.6 GHz,3.4 GHz,Intel Core i7,Yes: Hyper-Threading,LGA2011-3,140 W,12,
,Intel Core i5-6500 3.2 GHz Quad-Core,https://pcpartpicker.com/product/xwhj4D/intel-cpu-bx80662i56500,4,Skylake-S,No,,,Yes,Yes,,Intel HD Graphics 530,1 MB,6 MB,14 nm,Intel,64 GB,Skylake,Boxed,BX80662I56500,3.6 GHz,3.2 GHz,Intel Core i5,No,LGA1151,65 W,4,
,Intel Core i7-4770 3.4 GHz Quad-Core,https://pcpartpicker.com/product/sCNp99/intel-cpu-bx80646i74770,4,Haswell,No,,,Yes,Yes,,Intel HD Graphics 4600,1 MB,8 MB,22 nm,Intel,,Haswell,Boxed,BX80646I74770,3.9 GHz,3.4 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1150,84 W,8,
,Intel Xeon E3-1230 V2 3.3 GHz Quad-Core,https://pcpartpicker.com/product/VQrG3C/intel-cpu-bx80637e31230v2,4,Ivy Bridge,Yes,,,Yes,Yes,,None,1 MB,8 MB,22 nm,Intel,,Ivy Bridge,Boxed,BX80637E31230V2,,3.3 GHz,Intel Xeon E3,Yes: Hyper-Threading,LGA1155,69 W,8,
,Intel Core i5-4690K 3.5 GHz Quad-Core,https://pcpartpicker.com/product/Tvzv6h/intel-cpu-bx80646i54690k,4,Haswell Refresh,No,,,Yes,Yes,,Intel HD Graphics 4600,1 MB,6 MB,22 nm,Intel,,Haswell Refresh,Boxed,BX80646I54690K,3.9 GHz,3.5 GHz,Intel Core i5,No,LGA1150,88 W,4,
,Intel Core i7-4770 3.4 GHz Quad-Core,https://pcpartpicker.com/product/sCNp99/intel-cpu-bx80646i74770,4,Haswell,No,,,Yes,Yes,,Intel HD Graphics 4600,1 MB,8 MB,22 nm,Intel,,Haswell,Boxed,BX80646I74770,3.9 GHz,3.4 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1150,84 W,8,
,Intel Core i5-4590 3.3 GHz Quad-Core,https://pcpartpicker.com/product/7bNp99/intel-cpu-bx80646i54590,4,Haswell Refresh,No,,,Yes,Yes,,Intel HD Graphics 4600,1 MB,6 MB,22 nm,Intel,,Haswell Refresh,Boxed,BX80646I54590,3.7 GHz,3.3 GHz,Intel Core i5,No,LGA1150,84 W,4,
,AMD Ryzen 7 3800X 3.9 GHz 8-Core,https://pcpartpicker.com/product/qryV3C/amd-ryzen-7-3800x-39-ghz-8-core-processor-100-100000025box,8,Matisse,No,,,Yes,Yes,,None,4 MB,32 MB,7 nm,AMD,128 GB,Zen 2,Boxed,Ryzen 7 3800X; 100-100000025BOX,4.5 GHz,3.9 GHz,AMD Ryzen 7,Yes,AM4,105 W,16,
,Intel Core i7-6700 3.4 GHz Quad-Core,https://pcpartpicker.com/product/7V7CmG/intel-cpu-bx80662i76700,4,Skylake-S,No,,,Yes,Yes,,Intel HD Graphics 530,1 MB,8 MB,14 nm,Intel,64 GB,Skylake,Boxed,BX80662I76700,4 GHz,3.4 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1151,65 W,8,
,Intel Core i5-8600K 3.6 GHz 6-Core,https://pcpartpicker.com/product/Mr2rxr/intel-core-i5-8600k-36ghz-6-core-processor-bx80684i58600k,6,Coffee Lake,No,,,No,No,,Intel UHD Graphics 630,1.5 MB,9 MB,14 nm,Intel,128 GB,Coffee Lake,Boxed,BX80684I58600K,4.3 GHz,3.6 GHz,Intel Core i5,No,LGA1151,95 W,6,
,Intel Core i7-6700 3.4 GHz Quad-Core,https://pcpartpicker.com/product/7V7CmG/intel-cpu-bx80662i76700,4,Skylake-S,No,,,Yes,Yes,,Intel HD Graphics 530,1 MB,8 MB,14 nm,Intel,64 GB,Skylake,Boxed,BX80662I76700,4 GHz,3.4 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1151,65 W,8,
,Intel Core i5-6400 2.7 GHz Quad-Core OEM/Tray,https://pcpartpicker.com/product/kYH48d/intel-cpu-cm8066201920506,4,Skylake-S,No,,,No,No,,Intel HD Graphics 530,1 MB,6 MB,14 nm,Intel,64 GB,Skylake,OEM/Tray,CM8066201920506,3.3 GHz,2.7 GHz,Intel Core i5,No,LGA1151,65 W,4,
,Intel Core i9-10900K 3.7 GHz 10-Core,https://pcpartpicker.com/product/cwFKHx/intel-core-i9-10900k-37-ghz-10-core-processor-bx8070110900k,10,Comet Lake,No,,,No,No,,Intel UHD Graphics 630,2.5 MB,20 MB,14 nm,Intel,128 GB,Comet Lake,Boxed,BX8070110900K,5.3 GHz,3.7 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1200,125 W,20,
,Intel Core i5-10600KF 4.1 GHz 6-Core,https://pcpartpicker.com/product/p6jNnQ/intel-core-i5-10600kf-41-ghz-6-core-processor-bx8070110600kf,6,Comet Lake,No,,,No,No,,None,1.5 MB,12 MB,14 nm,Intel,128 GB,Comet Lake,Boxed,BX8070110600KF,4.8 GHz,4.1 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1200,125 W,12,
,AMD Ryzen 7 2700 3.2 GHz 8-Core,https://pcpartpicker.com/product/WPQG3C/amd-ryzen-7-2700-32ghz-8-core-processor-yd2700bbafbox,8,Pinnacle Ridge,No,,,Yes,Yes,,None,4 MB,16 MB,12 nm,AMD,64 GB,Zen+,Boxed,YD2700BBAFBOX,4.1 GHz,3.2 GHz,AMD Ryzen 7,Yes,AM4,65 W,16,
,AMD Ryzen 7 8700G 4.2 GHz 8-Core,https://pcpartpicker.com/product/K4vD4D/amd-ryzen-7-8700g-42-ghz-8-core-processor-100-100001236box,8,Phoenix 1,No,,,Yes,Yes,,Radeon 780M,8 MB,16 MB,4 nm,AMD,,Zen 4,Boxed,100-100001236BOX,5.1 GHz,4.2 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,Intel Core i5-7600 3.5 GHz Quad-Core,https://pcpartpicker.com/product/3pWrxr/intel-core-i5-7600-35ghz-quad-core-processor-bx80677i57600,4,Kaby Lake-S,No,,,Yes,Yes,,Intel HD Graphics 630,1 MB,6 MB,14 nm,Intel,64 GB,Kaby Lake,Boxed,BX80677I57600,4.1 GHz,3.5 GHz,Intel Core i5,No,LGA1151,65 W,4,
,Intel Core i7-13700 2.1 GHz 16-Core,https://pcpartpicker.com/product/8VqPxr/intel-core-i7-13700-21-ghz-16-core-processor-bx8071513700,16,Raptor Lake,Yes,4.1 GHz,1.5 GHz,Yes,Yes,,Intel UHD Graphics 770,24 MB,30 MB,10 nm,Intel,192 GB,Raptor Lake,Boxed,BX8071513700,5.2 GHz,2.1 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1700,65 W,24,
,AMD FX-6100 3.3 GHz 6-Core OEM/Tray,https://pcpartpicker.com/product/PkMFf7/amd-cpu-fd6100wmgusbx,6,Zambezi,No,,,Yes,Yes,,None,6 MB,6 MB,32 nm,AMD,,Bulldozer,OEM/Tray,FD6100WMGUSBX,,3.3 GHz,AMD FX,No,AM3+,95 W,6,
,Intel Core i7-9700KF 3.6 GHz 8-Core,https://pcpartpicker.com/product/LhCD4D/intel-core-i7-9700kf-36-ghz-8-core-processor-bx80684i79700kf,8,Coffee Lake Refresh,No,,,No,No,,None,2 MB,12 MB,14 nm,Intel,128 GB,Coffee Lake Refresh,Boxed,BX80684I79700KF,4.9 GHz,3.6 GHz,Intel Core i7,No,LGA1151,95 W,8,
,AMD FX-8350 4 GHz 8-Core,https://pcpartpicker.com/product/ykphP6/amd-cpu-fd8350frhkbox,8,Vishera,No,,,Yes,Yes,,None,8 MB,8 MB,32 nm,AMD,,Piledriver,Boxed,FD8350FRHKBOX,,4 GHz,AMD FX,No,AM3+,125 W,8,
,AMD Ryzen 7 5700G 3.8 GHz 8-Core,https://pcpartpicker.com/product/ycGbt6/amd-ryzen-7-5700g-38-ghz-8-core-processor-100-100000263box,8,Cezanne,No,,,Yes,Yes,,Radeon Vega 8,4 MB,16 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000263BOX,4.6 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM4,65 W,16,
,Intel Core i5-2400 3.1 GHz Quad-Core,https://pcpartpicker.com/product/jxJwrH/intel-cpu-bx80623i52400,4,Sandy Bridge,No,,,Yes,Yes,,Intel HD Graphics 2000,0.5 MB,6 MB,32 nm,Intel,,Sandy Bridge,Boxed,BX80623I52400,,3.1 GHz,Intel Core i5,No,LGA1155,95 W,4,
,Intel Core i5-14600KF 3.5 GHz 14-Core,https://pcpartpicker.com/product/zyyH99/intel-core-i5-14600kf-35-ghz-14-core-processor-bx8071514600kf,14,Raptor Lake Refresh,Yes,4 GHz,2.6 GHz,No,No,,None,20 MB,24 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514600KF,5.3 GHz,3.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,125 W,20,
,Intel Core i5-8500 3 GHz 6-Core,https://pcpartpicker.com/product/kFKcCJ/intel-core-i5-8500-3ghz-6-core-processor-bx80684i58500,6,Coffee Lake,No,,,Yes,Yes,,Intel UHD Graphics 630,1.5 MB,9 MB,14 nm,Intel,128 GB,Coffee Lake,Boxed,BX80684I58500,4.1 GHz,3 GHz,Intel Core i5,No,LGA1151,65 W,6,
,Intel Core i7-7800X 3.5 GHz 6-Core,https://pcpartpicker.com/product/ymtWGX/intel-core-i7-7800x-35ghz-6-core-processor-bx80673i77800x,6,Skylake-X,No,,,No,No,,None,6 MB,8.25 MB,14 nm,Intel,128 GB,Skylake,Boxed,BX80673I77800X,4 GHz,3.5 GHz,Intel Core i7,Yes: Hyper-Threading,LGA2066,140 W,12,
,Intel Core i5-10600 3.3 GHz 6-Core,https://pcpartpicker.com/product/hftKHx/intel-core-i5-10600-33-ghz-6-core-processor-bx8070110600,6,Comet Lake,No,,,Yes,Yes,,Intel UHD Graphics 630,1.5 MB,12 MB,14 nm,Intel,128 GB,Comet Lake,Boxed,BX8070110600,4.8 GHz,3.3 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1200,65 W,12,
,Intel Core i7-12700F 2.1 GHz 12-Core,https://pcpartpicker.com/product/LT3gXL/intel-core-i7-12700f-21-ghz-12-core-processor-bx8071512700f,12,Alder Lake,No,3.6 GHz,1.6 GHz,Yes,Yes,,None,12 MB,25 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512700F,4.9 GHz,2.1 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1700,65 W,20,
,AMD Ryzen 7 5700 3.7 GHz 8-Core,https://pcpartpicker.com/product/9NFmP6/amd-ryzen-7-5700-37-ghz-8-core-processor-100-000000743box,8,Cezanne,No,,,Yes,Yes,,None,4 MB,16 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-000000743BOX; 100-100000743BOX; Ryzen 7 5700,4.6 GHz,3.7 GHz,AMD Ryzen 7,Yes,AM4,65 W,16,
,Not Specified,No Link,,,,,,,,,,,,,,,,,,,,,,,,,
,Intel Core i9-9900K (Standard Folding Box) 3.6 GHz 8-Core,https://pcpartpicker.com/product/8jdrxr/intel-core-i9-9900k-36-ghz-8-core-processor-bx806849900k,8,Coffee Lake Refresh,No,,,No,No,,Intel UHD Graphics 630,2 MB,16 MB,14 nm,Intel,128 GB,Coffee Lake Refresh,Boxed,BX806849900K,5 GHz,3.6 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1151,95 W,16,Core i9-9900K (Standard Folding Box)
,Not Specified,No Link,,,,,,,,,,,,,,,,,,,,,,,,,
,Not Specified,No Link,,,,,,,,,,,,,,,,,,,,,,,,,
,Not Specified,No Link,,,,,,,,,,,,,,,,,,,,,,,,,
,Not Specified,No Link,,,,,,,,,,,,,,,,,,,,,,,,,
,Not Specified,No Link,,,,,,,,,,,,,,,,,,,,,,,,,
