component_type,component_name,component_link,CPU_Socket,Color,Fan_RPM,Fanless,Height,Inferred_,Manufacturer,Noise_Level,Part_#_#,Water_Cooled
CPU Cooler,Lian Li Galahad II Trinity SL-INF 61.3 CFM Liquid,https://pcpartpicker.com/product/HH88TW/lian-li-galahad-ii-trinity-sl-inf-613-cfm-liquid-cpu-cooler-ga2t36inw,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,2100 RPM,No,69 mm,,Lian Li,29 dB,GA2T36INW; G89.GA2T36INW.00,Yes - 360 mm
,Noctua NH-L9x65 chromax.black 33.84 CFM,https://pcpartpicker.com/product/QvvD4D/noctua-nh-l9x65-chromaxblack-3384-cfm-cpu-cooler-nh-l9x65-chromaxblack,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,600 - 2500 RPM,No,65 mm,,Noctua,14.8 - 23.6 dB,NH-L9x65 chromax.black; NH-L9x65 ch.bk; NH-L9x65chromaxblack; NH-L9X65-CH-BK; NOCTUA NH-L9X65 CHROMAX.BLACK,No
,ID-COOLING SE-214-XT ARGB 68.2 CFM,https://pcpartpicker.com/product/Zr8bt6/id-cooling-se-214-xt-argb-682-cfm-cpu-cooler-se-214-xt-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,500 - 1500 RPM,No,150 mm,,ID-COOLING,13.8 - 30.5 dB,SE-214-XT ARGB,No
,Thermalright Aqua Elite V3 66.17 CFM Liquid,https://pcpartpicker.com/product/ZQBzK8/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-360-black-v3,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,1500 RPM,No,,,Thermalright,25.6 dB,Aqua Elite 360 Black V3; AQUA ELITE 360 V3; Aqua Elite 360 Black Argb V3,Yes - 360 mm
,Deepcool GAMMAXX AG400 ARGB 75.89 CFM,https://pcpartpicker.com/product/6KWzK8/deepcool-ag400-argb-7589-cfm-cpu-cooler-r-ag400-whanmc-g-2,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,500 - 2000 RPM,No,150 mm,,Deepcool,31.6 dB,R-AG400-WHANMC-G-2; AG400 WH ARGB,No
,Thermalright Frozen Notte ARGB 72.37 CFM Liquid,https://pcpartpicker.com/product/9VmNnQ/thermalright-frozen-notte-argb-7237-cfm-liquid-cpu-cooler-frozen-notte-360-white-argb-d1,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,2000 RPM,No,,,Thermalright,27.7 dB,Frozen Notte 360 WHITE ARGB-D1; Frozen Notte 360 WHITE ARGB,Yes - 360 mm
,Noctua NH-L12 Ghost S1 37.8 CFM,https://pcpartpicker.com/product/bq848d/noctua-nh-l12-ghost-s1-378-cfm-cpu-cooler-nh-l12-ghost-s1,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Silver / Beige,300 - 1600 RPM,No,66 mm,,Noctua,13.1 - 17.6 dB,NH-L12 Ghost S1,No
,Lian Li Galahad II LCD SL-INF 79.9 CFM Liquid,https://pcpartpicker.com/product/G6mNnQ/lian-li-galahad-ii-lcd-sl-inf-799-cfm-liquid-cpu-cooler-ga2alcd36inw,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,,No,,,Lian Li,29 dB,GA2ALCD36INW,Yes - 360 mm
,Thermalright RK120 SE 66.17 CFM,https://pcpartpicker.com/product/4gDQzy/thermalright-rk120-se-6617-cfm-cpu-cooler-rk120-se,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black / Silver,1500 RPM,No,155 mm,,Thermalright,25.6 dB,RK120 SE; Royal Knight 120 SE,No
,Noctua NH-D15 G2 LBC 91.58 CFM,https://pcpartpicker.com/product/kZNYcf/noctua-nh-d15-g2-lbc-9158-cfm-cpu-cooler-nh-d15-g2-lbc,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Brown / Silver,1500 RPM,No,168 mm,,Noctua,24.8 dB,NH-D15 G2 LBC,No
,Thermalright AXP90-X53 FULL 42.58 CFM,https://pcpartpicker.com/product/DPHqqs/thermalright-axp90-x53-full-4258-cfm-cpu-cooler-axp90-x53-full,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Copper / Orange,2700 RPM,No,53 mm,,Thermalright,22.4 dB,AXP90-X53 FULL,No
,ID-COOLING SL360 78 CFM Liquid,https://pcpartpicker.com/product/z9XV3C/id-cooling-sl360-78-cfm-liquid-cpu-cooler-sl360,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,500 - 2000 RPM,No,58 mm,,ID-COOLING,29.9 dB,SL360,Yes - 360 mm
,Thermalright Phantom Spirit EVO 69 CFM,https://pcpartpicker.com/product/BRMMnQ/thermalright-phantom-spirit-evo-69-cfm-cpu-cooler-phantom-spirit-120-evo,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,2150 RPM,No,157 mm,,Thermalright,27 dB,Phantom Spirit 120 EVO; PS120 EVO,No
,be quiet! Silent Loop 3 78.4 CFM Liquid,https://pcpartpicker.com/product/Lt8Pxr/be-quiet-silent-loop-3-784-cfm-liquid-cpu-cooler-bw026,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,1900 RPM,No,94 mm,,be quiet!,19.4 - 34.3 dB,BW026,Yes - 420 mm
,Noctua NH-U12A chromax.black 60.09 CFM,https://pcpartpicker.com/product/HCgFf7/noctua-nh-u12a-chromaxblack-6009-cfm-cpu-cooler-nh-u12a-chromaxblack,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,450 - 2000 RPM,No,158 mm,,Noctua,18.8 - 22.6 dB,NH-U12A chromax.black; NH-U12A ch.bk,No
,Thermalright AXP90-X53 FULL 42.58 CFM,https://pcpartpicker.com/product/DPHqqs/thermalright-axp90-x53-full-4258-cfm-cpu-cooler-axp90-x53-full,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Copper / Orange,2700 RPM,No,53 mm,,Thermalright,22.4 dB,AXP90-X53 FULL,No
,ID-COOLING SL360 78 CFM Liquid,https://pcpartpicker.com/product/z9XV3C/id-cooling-sl360-78-cfm-liquid-cpu-cooler-sl360,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,500 - 2000 RPM,No,58 mm,,ID-COOLING,29.9 dB,SL360,Yes - 360 mm
,Thermalright Phantom Spirit EVO 69 CFM,https://pcpartpicker.com/product/BRMMnQ/thermalright-phantom-spirit-evo-69-cfm-cpu-cooler-phantom-spirit-120-evo,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,2150 RPM,No,157 mm,,Thermalright,27 dB,Phantom Spirit 120 EVO; PS120 EVO,No
,Noctua NH-U12A chromax.black 60.09 CFM,https://pcpartpicker.com/product/HCgFf7/noctua-nh-u12a-chromaxblack-6009-cfm-cpu-cooler-nh-u12a-chromaxblack,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,450 - 2000 RPM,No,158 mm,,Noctua,18.8 - 22.6 dB,NH-U12A chromax.black; NH-U12A ch.bk,No
,Thermalright AXP90-X36 42.58 CFM,https://pcpartpicker.com/product/8b92FT/thermalright-axp90-x36-4258-cfm-cpu-cooler-axp90-x36,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Gray,2700 RPM,No,36 mm,,Thermalright,22.4 dB,AXP90-X36,No
,Thermalright Phantom Spirit EVO 69 CFM,https://pcpartpicker.com/product/BRMMnQ/thermalright-phantom-spirit-evo-69-cfm-cpu-cooler-phantom-spirit-120-evo,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,2150 RPM,No,157 mm,,Thermalright,27 dB,Phantom Spirit 120 EVO; PS120 EVO,No
,Thermalright Assassin King SE ARGB 66.17 CFM,https://pcpartpicker.com/product/7TddnQ/thermalright-assassin-king-se-argb-6617-cfm-cpu-cooler-ak120-se-white-argb-d6-2,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,1550 RPM,No,148 mm,,Thermalright,25.6 dB,AK120 SE WHITE ARGB-D6-2; TL-AK120 SE White; TL-AK120 SE WHITE ARGB,No
,Asus ROG STRIX LC II 80.95 CFM Liquid,https://pcpartpicker.com/product/XmvdnQ/asus-rog-strix-lc-ii-8095-cfm-liquid-cpu-cooler-rog-strix-lc-ii-360,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011-3 Narrow,Black,800 - 2500 RPM,No,,,Asus,37.6 dB,ROG STRIX LC II 360; 90RC00F0-M0AAY0,Yes - 360 mm
,Asus ROG STRIX LC II 80.95 CFM Liquid,https://pcpartpicker.com/product/XmvdnQ/asus-rog-strix-lc-ii-8095-cfm-liquid-cpu-cooler-rog-strix-lc-ii-360,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011-3 Narrow,Black,800 - 2500 RPM,No,,,Asus,37.6 dB,ROG STRIX LC II 360; 90RC00F0-M0AAY0,Yes - 360 mm
,Asus ROG STRIX LC II 80.95 CFM Liquid,https://pcpartpicker.com/product/XmvdnQ/asus-rog-strix-lc-ii-8095-cfm-liquid-cpu-cooler-rog-strix-lc-ii-360,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011-3 Narrow,Black,800 - 2500 RPM,No,,,Asus,37.6 dB,ROG STRIX LC II 360; 90RC00F0-M0AAY0,Yes - 360 mm
,Asus ROG STRIX LC II 80.95 CFM Liquid,https://pcpartpicker.com/product/XmvdnQ/asus-rog-strix-lc-ii-8095-cfm-liquid-cpu-cooler-rog-strix-lc-ii-360,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011-3 Narrow,Black,800 - 2500 RPM,No,,,Asus,37.6 dB,ROG STRIX LC II 360; 90RC00F0-M0AAY0,Yes - 360 mm
,Thermalright Peerless Assassin MINI 66.87 CFM,https://pcpartpicker.com/product/WW88TW/thermalright-peerless-assassin-mini-6687-cfm-cpu-cooler-peerless-assassin-120-mini-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,1500 RPM,No,135 mm,,Thermalright,25.6 dB,Peerless Assassin 120 MINI BLACK; PA120 MINI BLACK; PEERLESS ASSASSIN 120 MINI BK,No
,Thermalright Assassin X Refined SE RGB V2 66.17 CFM,https://pcpartpicker.com/product/Wfn9TW/thermalright-assassin-x-refined-se-rgb-v2-6617-cfm-cpu-cooler-ax120r-se-v2-d6,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black / Silver,1550 RPM,No,148 mm,,Thermalright,25.6 dB,AX120R SE V2 D6; AX120 REFINED SE V2,No
,be quiet! Pure Loop 2 FX Liquid,https://pcpartpicker.com/product/b6JgXL/be-quiet-pure-loop-2-fx-liquid-cpu-cooler-bw015,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,,No,,,be quiet!,8 - 34 dB,BW015; PURE LOOP 2 FX 360mm,Yes - 360 mm
,be quiet! Silent Loop 3 76.7 CFM Liquid,https://pcpartpicker.com/product/N3ZWGX/be-quiet-silent-loop-3-767-cfm-liquid-cpu-cooler-bw025,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,2500 RPM,No,94 mm,,be quiet!,19.8 - 38.8 dB,BW025,Yes - 360 mm
,be quiet! Silent Loop 3 76.7 CFM Liquid,https://pcpartpicker.com/product/ncTFf7/be-quiet-silent-loop-3-767-cfm-liquid-cpu-cooler-bw024,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,2500 RPM,No,94 mm,,be quiet!,18.7 - 36.9 dB,BW024,Yes - 240 mm
,Deepcool ASSASSIN IV 79.1 CFM,https://pcpartpicker.com/product/P4Jp99/deepcool-assassin-iv-791-cfm-cpu-cooler-r-asn4-whnnmt-g,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,500 - 1700 RPM,No,164 mm,,Deepcool,22.6 - 29.3 dB,R-ASN4-WHNNMT-G; ASSASSIN IV WH,No
,Noctua NH-D15 82.5 CFM,https://pcpartpicker.com/product/4vzv6h/noctua-nh-d15-825-cfm-cpu-cooler-nh-d15,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,,300 - 1500 RPM,No,165 mm,,Noctua,19.2 - 24.6 dB,NH-D15,No
,Thermalright Frozen Prism ARGB 70.4 CFM Liquid,https://pcpartpicker.com/product/VnMMnQ/thermalright-frozen-prism-argb-704-cfm-liquid-cpu-cooler-frozen-prism-360-white-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,1850 RPM,No,,,Thermalright,27 dB,Frozen Prism 360 WHITE ARGB; FP360 WHITE ARGB D6M,Yes - 360 mm
,Thermalright Phantom Spirit EVO 69 CFM,https://pcpartpicker.com/product/BRMMnQ/thermalright-phantom-spirit-evo-69-cfm-cpu-cooler-phantom-spirit-120-evo,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,2150 RPM,No,157 mm,,Thermalright,27 dB,Phantom Spirit 120 EVO; PS120 EVO,No
,be quiet! Light Loop Liquid,https://pcpartpicker.com/product/yDBzK8/be-quiet-light-loop-liquid-cpu-cooler-bw022,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,1500 - 2900 RPM,No,,,be quiet!,17.2 - 36.8 dB,BW022,Yes - 360 mm
,Thermalright Assassin X Refined SE RGB 66.17 CFM,https://pcpartpicker.com/product/Js2WGX/thermalright-assassin-x-refined-se-argb-6617-cfm-cpu-cooler-ax120-refined-se-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black / Silver,1550 RPM,No,148 mm,,Thermalright,25.6 dB,AX120 Refined SE ARGB,No
,be quiet! Dark Rock Pro 5,https://pcpartpicker.com/product/LyyH99/be-quiet-dark-rock-pro-5-cpu-cooler-bk036,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,1300 - 2000 RPM,No,168 mm,,be quiet!,8.9 - 23.3 dB,BK036,No
,Asus ROG STRIX LC III ARGB 70.38 CFM Liquid,https://pcpartpicker.com/product/ZJcgXL/asus-rog-strix-lc-iii-argb-7038-cfm-liquid-cpu-cooler-rog-strix-lc-iii-360-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,800 - 2200 RPM,No,,,Asus,36 dB,ROG Strix LC III 360 ARGB,Yes - 360 mm
,SAMA SM360 LCD 71.1 CFM Liquid,https://pcpartpicker.com/product/NVMMnQ/sama-sm350-lcd-711-cfm-liquid-cpu-cooler-sm360ld-black,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,800 - 1800 RPM,No,,,SAMA,35.5 dB,SM360LD Black,Yes - 360 mm
,Thermalright Phantom Spirit SE 66.17 CFM,https://pcpartpicker.com/product/CwGhP6/thermalright-phantom-spirit-se-6617-cfm-cpu-cooler-ps120se-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,1500 RPM,No,154 mm,,Thermalright,25.6 dB,PS120SE Black; Phantom Spirit 120 SE BLACK,No
,Noctua NH-L12S 55.44 CFM,https://pcpartpicker.com/product/hbnG3C/noctua-nh-l12s-5544-cfm-cpu-cooler-nh-l12s,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,,450 - 1850 RPM,No,70 mm,,Noctua,16.8 - 23.9 dB,NH-L12S,No
,AMD Wraith Prism 2800 CFM,https://pcpartpicker.com/product/3WfxFT/amd-wraith-prism-2800-cfm-cpu-cooler-199-999888,AM4; AM5,,2800 RPM,No,93 mm,,AMD,42 dB,199-999888,No
,Thermalright Phantom Spirit EVO 69 CFM,https://pcpartpicker.com/product/BRMMnQ/thermalright-phantom-spirit-evo-69-cfm-cpu-cooler-phantom-spirit-120-evo,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,2150 RPM,No,157 mm,,Thermalright,27 dB,Phantom Spirit 120 EVO; PS120 EVO,No
,Thermalright Assassin X Refined SE RGB 66.17 CFM,https://pcpartpicker.com/product/Js2WGX/thermalright-assassin-x-refined-se-argb-6617-cfm-cpu-cooler-ax120-refined-se-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black / Silver,1550 RPM,No,148 mm,,Thermalright,25.6 dB,AX120 Refined SE ARGB,No
,Thermalright Phantom Spirit 66.17 CFM,https://pcpartpicker.com/product/zkWJ7P/thermalright-phantom-spirit-6617-cfm-cpu-cooler-ps120,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black / Silver,1500 RPM,No,157 mm,,Thermalright,25.6 dB,PS120; Phantom Spirit 120,No
,Thermalright Peerless Assassin MINI 66.87 CFM,https://pcpartpicker.com/product/6T9wrH/thermalright-peerless-assassin-mini-6687-cfm-cpu-cooler-peerless-assassin-120-mini-white,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,1500 RPM,No,135 mm,,Thermalright,25.6 dB,Peerless Assassin 120 MINI WHITE,No
,Thermalright Frozen Warframe ARGB 70.84 CFM Liquid,https://pcpartpicker.com/product/cjgrxr/thermalright-frozen-warframe-argb-7084-cfm-liquid-cpu-cooler-frozen-warframe-240-white-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,2000 RPM,No,,,Thermalright,22.1 dB,Frozen Warframe 240 WHITE ARGB,Yes - 240 mm
,EK EK-Nucleus AIO CR240 Lux D-RGB 72 CFM Liquid,https://pcpartpicker.com/product/prytt6/ek-ek-nucleus-aio-cr240-lux-d-rgb-72-cfm-liquid-cpu-cooler-ek-nucleus-aio-cr240-lux-d-rgb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,550 - 2300 RPM,No,,,EK,36 dB,EK-Nucleus AIO CR240 Lux D-RGB; 3831109851678,Yes - 240 mm
,Thermalright Frozen Warframe ARGB 70.84 CFM Liquid,https://pcpartpicker.com/product/cjgrxr/thermalright-frozen-warframe-argb-7084-cfm-liquid-cpu-cooler-frozen-warframe-240-white-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,2000 RPM,No,,,Thermalright,22.1 dB,Frozen Warframe 240 WHITE ARGB,Yes - 240 mm
,be quiet! Silent Loop 3 76.7 CFM Liquid,https://pcpartpicker.com/product/ncTFf7/be-quiet-silent-loop-3-767-cfm-liquid-cpu-cooler-bw024,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,2500 RPM,No,94 mm,,be quiet!,18.7 - 36.9 dB,BW024,Yes - 240 mm
