component_type,component_name,component_link,CPU_Socket,Color,Fan_RPM,Fanless,Height,Inferred_,Manufacturer,Noise_Level,Part_#_#,Water_Cooled
,Cooler Master Hyper 622 Halo 51.88 CFM,https://pcpartpicker.com/product/GCwmP6/cooler-master-hyper-622-halo-5188-cfm-cpu-cooler-rr-d6bb-20pa-r1,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,650 - 2050 RPM,No,157 mm,,Cooler Master,27 dB,RR-D6BB-20PA-R1,No
,Noctua NH-U9S chromax.black 46.4 CFM,https://pcpartpicker.com/product/9pfFf7/noctua-nh-u9s-chromaxblack-464-cfm-cpu-cooler-nh-u9s-chromaxblack,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,400 - 2000 RPM,No,125 mm,,Noctua,16.3 - 22.8 dB,NH-U9S chromax.black; NH-U9S CH.BK; NH-U9S-CH-BK,No
,Cooler Master Hyper 212 RGB Black Edition 59 CFM,https://pcpartpicker.com/product/WHH7YJ/cooler-master-hyper-212-rgb-black-edition-59-cfm-cpu-cooler-rr-212s-20pc-r2,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,,650 - 2000 RPM,No,159 mm,,Cooler Master,8 - 30 dB,RR-212S-20PC-R2,No
,Thermaltake TH240 V2 Ultra ARGB Sync 57.05 CFM Liquid,https://pcpartpicker.com/product/tpFmP6/thermaltake-th240-v2-ultra-argb-sync-5705-cfm-liquid-cpu-cooler-cl-w404-pl12sw-a,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,500 - 1800 RPM,No,,,Thermaltake,25.8 dB,CL-W404-PL12SW-A,Yes - 240 mm
,ARCTIC Liquid Freezer II 280 A-RGB 68.9 CFM Liquid,https://pcpartpicker.com/product/HZvdnQ/arctic-liquid-freezer-ii-280-a-rgb-689-cfm-liquid-cpu-cooler-acfre00106a,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,200 - 1900 RPM,No,,,ARCTIC,22.5 dB,ACFRE00106A,Yes - 280 mm
,Deepcool AG400 PLUS 75.89 CFM,https://pcpartpicker.com/product/sxHqqs/deepcool-ag400-plus-7589-cfm-cpu-cooler-r-ag400-bknnmd-g,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black / Silver,500 - 2000 RPM,No,150 mm,,Deepcool,,R-AG400-BKNNMD-G,No
,Cooler Master MasterLiquid Lite 240 66.7 CFM Liquid,https://pcpartpicker.com/product/9gRFf7/cooler-master-masterliquid-lite-240-667-cfm-liquid-cpu-cooler-mlw-d24m-a20pw-r1,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA2011; LGA2011-3; LGA2066,,650 - 2000 RPM,No,,,Cooler Master,6 - 30 dB,MLW-D24M-A20PW-R1,Yes - 240 mm
,TRYX PANORAMA 81.32 CFM Liquid,https://pcpartpicker.com/product/J8LdnQ/tryx-panorama-8132-cfm-liquid-cpu-cooler-l-p360n-ds3m-g0w,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,500 - 2250 RPM,No,116 mm,,TRYX,30.97 dB,L-P360N-DS3M-G0W; PANORAMA 360 WHITE,Yes - 360 mm
,ID-COOLING SE-226-XT 68.2 CFM,https://pcpartpicker.com/product/kt2WGX/id-cooling-se-226-xt-682-cfm-cpu-cooler-se-226-xt-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,500 - 1500 RPM,No,154 mm,,ID-COOLING,13.8 - 30.5 dB,SE-226-XT BLACK,No
,Vetroo V5 52 CFM,https://pcpartpicker.com/product/sMTp99/vetroo-v5-52-cfm-cpu-cooler-vt-cpu-v5-wt,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,800 - 1700 RPM,No,148 mm,,Vetroo,30.8 dB,VT-CPU-V5-WT,No
,Silverstone PF360-ARGB 94 CFM Liquid,https://pcpartpicker.com/product/QMCFf7/silverstone-pf360-argb-94-cfm-liquid-cpu-cooler-sst-pf360-argb,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA775; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA2011; LGA2011-3; LGA2066,Black,600 - 2200 RPM,No,,,Silverstone,7.4 - 35.6 dB,SST-PF360-ARGB,Yes - 360 mm
,Cooler Master MasterLiquid 360 Atmos 70.7 CFM Liquid,https://pcpartpicker.com/product/FgKscf/cooler-master-masterliquid-360-atmos-707-cfm-liquid-cpu-cooler-mlx-d36m-a25pz-r1,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,690 - 2500 RPM,No,53 mm,,Cooler Master,27.2 dB,MLX-D36M-A25PZ-R1,Yes - 360 mm
,ARCTIC Freezer 7 Pro Rev.2 45 CFM Fluid Dynamic Bearing,https://pcpartpicker.com/product/VRPfrH/arctic-freezer-7-pro-rev2-45-cfm-fluid-dynamic-bearing-cpu-cooler-freezer-7-pro-rev2,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA775; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366,,900 - 2500 RPM,No,127 mm,,ARCTIC,,Freezer 7 Pro Rev.2; DCACO-FP701-CSA01,No
,Cooler Master Hyper 212 RGB Black Edition 57.3 CFM,https://pcpartpicker.com/product/hHDJ7P/cooler-master-hyper-212-rgb-black-edition-573-cfm-cpu-cooler-rr-212s-20pc-r1,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,650 - 2000 RPM,No,159 mm,,Cooler Master,8 - 30 dB,RR-212S-20PC-R1,No
,NZXT Kraken Z53 73.11 CFM Liquid,https://pcpartpicker.com/product/hdsnTW/nzxt-kraken-z53-7311-cfm-liquid-cpu-cooler-rl-krz53-01,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,500 - 2000 RPM,No,,,NZXT,21 - 36 dB,RL-KRZ53-01,Yes - 240 mm
,Asus ROG Ryujin III 71.6 CFM Liquid,https://pcpartpicker.com/product/Gjn9TW/asus-rog-ryujin-iii-716-cfm-liquid-cpu-cooler-90rc00l0-m0uay0,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,450 - 2000 RPM,No,101 mm,,Asus,29.7 dB,90RC00L0-M0UAY0; ROG RYUJIN III 360; 90RC00L0-M0AAY0,Yes - 360 mm
,Noctua NH-D9L 46.44 CFM,https://pcpartpicker.com/product/8pgPxr/noctua-nh-d9l-4644-cfm-cpu-cooler-nh-d9l,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,,400 - 2000 RPM,No,110 mm,,Noctua,16.3 - 22.8 dB,NH-D9L,No
,Thermalright Assassin X SE 32.77 CFM,https://pcpartpicker.com/product/8wZXsY/thermalright-assassin-x-se-3277-cfm-cpu-cooler-ax90se-v2,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black / Silver,2200 RPM,No,118 mm,,Thermalright,23.85 dB,AX90SE V2; AX90SE V2 D6; Assassin-X-90-SE-V2,No
,Asus ROG Ryujin III 70.07 CFM Liquid,https://pcpartpicker.com/product/43grxr/asus-rog-ryujin-iii-7007-cfm-liquid-cpu-cooler-rog-ryujin-iii-240-argb-wht,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,600 - 2200 RPM,No,,,Asus,36.45 dB,ROG RYUJIN III 240 ARGB WHT; 90RC00K2-M0UAY0; 90RC00K2-M0AAY0,Yes - 240 mm
,Thermalright Burst Assassin 66.17 CFM,https://pcpartpicker.com/product/GWpzK8/thermalright-burst-assassin-6617-cfm-cpu-cooler-ba120,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Gray / Black,1550 RPM,No,154 mm,,Thermalright,25.6 dB,BA120; BA120-D3; BA120-D2,No
,Deepcool LT520 85.85 CFM Liquid,https://pcpartpicker.com/product/WhWzK8/deepcool-lt520-8585-cfm-liquid-cpu-cooler-r-lt520-bkamnf-g-1,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black / Gray,500 - 2250 RPM,No,68 mm,,Deepcool,32.9 dB,R-LT520-BKAMNF-G-1; LT520; LT520-AMAZON,Yes - 240 mm
,Deepcool AK500S DIGITAL 68.99 CFM,https://pcpartpicker.com/product/YB4Zxr/deepcool-ak500s-digital-6899-cfm-cpu-cooler-r-ak500s-whadmn-g,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,500 - 1850 RPM,No,160 mm,,Deepcool,28 dB,R-AK500S-WHADMN-G; AK500S Digital WH-amazon; AK500S Digital WH,No
,Thermalright Frozen Magic Scenic V2 69 CFM Liquid,https://pcpartpicker.com/product/C888TW/thermalright-frozen-magic-scenic-v2-69-cfm-liquid-cpu-cooler-frozen-magic-360-scenic-v2-d1-g2,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,2150 RPM,No,,,Thermalright,28.1 dB,Frozen Magic 360 SCENIC V2-D1-G2,Yes - 360 mm
,Thermaltake TH360 V2 Ultra ARGB Sync 57.05 CFM Liquid,https://pcpartpicker.com/product/q33NnQ/thermaltake-th360-v2-ultra-argb-sync-5705-cfm-liquid-cpu-cooler-cl-w405-pl12sw-a,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,500 - 1800 RPM,No,,,Thermaltake,25.8 dB,CL-W405-PL12SW-A,Yes - 360 mm
,Thermalright Core Vision ARGB 72.37 CFM Liquid,https://pcpartpicker.com/product/jp8Pxr/thermalright-core-vision-argb-7237-cfm-liquid-cpu-cooler-core-vision-360-white-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,2000 RPM,No,66 mm,,Thermalright,27.7 dB,Core Vision 360 WHITE ARGB,Yes - 360 mm
,NZXT Kraken X63 RGB 91.19 CFM Liquid,https://pcpartpicker.com/product/cpRYcf/nzxt-kraken-x63-rgb-9119-cfm-liquid-cpu-cooler-rl-krx63-rw,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White / Black,500 - 1500 RPM,No,,,NZXT,22 - 33 dB,RL-KRX63-RW,Yes - 280 mm
,Corsair iCUE LINK H150i RGB 63.1 CFM Liquid,https://pcpartpicker.com/product/NBTZxr/corsair-icue-link-h150i-rgb-631-cfm-liquid-cpu-cooler-cw-9061006-ww,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,480 - 2400 RPM,No,,,Corsair,,CW-9061006-WW,Yes - 360 mm
,Thermaltake TH360 V2 Ultra ARGB Sync 57.05 CFM Liquid,https://pcpartpicker.com/product/q33NnQ/thermaltake-th360-v2-ultra-argb-sync-5705-cfm-liquid-cpu-cooler-cl-w405-pl12sw-a,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,500 - 1800 RPM,No,,,Thermaltake,25.8 dB,CL-W405-PL12SW-A,Yes - 360 mm
,upHere CC2402-usa 49.7 CFM Liquid,https://pcpartpicker.com/product/XfDkcf/uphere-cc2402-usa-497-cfm-liquid-cpu-cooler-cc2402-usa,AM2; AM2+; AM3; AM3+; AM4; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA2011; LGA2011-3; LGA2066,Black,600 - 1700 RPM,No,,,upHere,16.1 - 27.7 dB,CC2402-usa,Yes - 240 mm
,EK AIO Basic 360 77 CFM Liquid,https://pcpartpicker.com/product/znH7YJ/ek-aio-basic-360-77-cfm-liquid-cpu-cooler-ek-aio-basic-360,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,550 - 2200 RPM,No,53 mm,,EK,33.5 dB,EK-AIO Basic 360; AIO-BASIC-360; 3831109832509,Yes - 360 mm
,be quiet! Pure Rock 2 FX,https://pcpartpicker.com/product/2L3gXL/be-quiet-pure-rock-2-fx-cpu-cooler-bk033,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,,No,155 mm,,be quiet!,7.9 - 24.4 dB,BK033; Pure Rock 2 FX Black,No
,Cooler Master Hyper H412R 34.1 CFM,https://pcpartpicker.com/product/vbfhP6/cooler-master-hyper-h412r-341-cfm-cpu-cooler-rr-h412-20pk-r2,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA775; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA2011; LGA2011-3; LGA2066,Black,600 - 2000 RPM,No,136 mm,,Cooler Master,29.4 dB,RR-H412-20PK-R2,No
,Enermax ETS-F40-FS 74.33 CFM,https://pcpartpicker.com/product/47Tp99/enermax-ets-f40-fs-7433-cfm-cpu-cooler-ets-f40-bk-argb,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,300 - 1200 RPM,No,158 mm,,Enermax,10 - 23 dB,ETS-F40-BK-ARGB,No
,Cooler Master i50 34.1 CFM,https://pcpartpicker.com/product/Kk2WGX/cooler-master-i50-341-cfm-cpu-cooler-rh-i50-20fk-r1,LGA1150; LGA1151; LGA1155; LGA1156; LGA1200,Black / Silver,2000 RPM,No,60 mm,,Cooler Master,28 dB,RH-I50-20FK-R1; i50,No
,MSI MEG CORELIQUID S360 56.2 CFM Liquid,https://pcpartpicker.com/product/LGH7YJ/msi-meg-coreliquid-s360-562-cfm-liquid-cpu-cooler-meg-coreliquid-s360,AM2; AM2+; AM3; AM3+; AM4; AM5; sTR4; sTRX4; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,,No,,,MSI,22.7 dB,MEG CoreLiquid S360; 9S6-6A0521-001; CLS360,Yes - 360 mm
,ARCTIC Liquid Freezer III 420 A-RGB 69.9 CFM Liquid,https://pcpartpicker.com/product/P2GhP6/arctic-liquid-freezer-iii-420-a-rgb-699-cfm-liquid-cpu-cooler-acfre00153a,AM4; AM5; LGA1700; LGA1851,White,200 - 1900 RPM,No,,,ARCTIC,,ACFRE00153A,Yes - 420 mm
,be quiet! Pure Loop 2 FX Liquid,https://pcpartpicker.com/product/WdZ9TW/be-quiet-pure-loop-2-fx-liquid-cpu-cooler-bw014,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,,No,,,be quiet!,10.8 - 32.8 dB,BW014; PURE LOOP 2 FX 280mm,Yes - 280 mm
,be quiet! Pure Rock 2 FX,https://pcpartpicker.com/product/2L3gXL/be-quiet-pure-rock-2-fx-cpu-cooler-bk033,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,,No,155 mm,,be quiet!,7.9 - 24.4 dB,BK033; Pure Rock 2 FX Black,No
,NZXT Kraken X53 73.11 CFM Liquid,https://pcpartpicker.com/product/PVfFf7/nzxt-kraken-x53-7311-cfm-liquid-cpu-cooler-rl-krx53-01,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,500 - 2000 RPM,No,,,NZXT,21 - 36 dB,RL-KRX53-01,Yes - 240 mm
,be quiet! Dark Rock Slim,https://pcpartpicker.com/product/krxbt6/be-quiet-dark-rock-slim-cpu-cooler-bk024,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,1500 RPM,No,159 mm,,be quiet!,11 - 23.6 dB,BK024,No
,NZXT Kraken 280 RGB 90.79 CFM Liquid,https://pcpartpicker.com/product/JVwmP6/nzxt-kraken-280-rgb-9079-cfm-liquid-cpu-cooler-rl-kr280-w1,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,500 - 1500 RPM,No,56 mm,,NZXT,34.48 dB,RL-KR280-W1,Yes - 280 mm
,NZXT Kraken X53 73.11 CFM Liquid,https://pcpartpicker.com/product/PVfFf7/nzxt-kraken-x53-7311-cfm-liquid-cpu-cooler-rl-krx53-01,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,500 - 2000 RPM,No,,,NZXT,21 - 36 dB,RL-KRX53-01,Yes - 240 mm
,be quiet! Dark Rock Pro 4 50.5 CFM,https://pcpartpicker.com/product/F3gzK8/be-quiet-dark-rock-pro-4-505-cfm-cpu-cooler-bk022,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,1500 RPM,No,163 mm,,be quiet!,12.8 - 24.3 dB,BK022,No
,ID-COOLING PINKFLOW 55.2 CFM Liquid,https://pcpartpicker.com/product/4x2bt6/id-cooling-pinkflow-552-cfm-liquid-cpu-cooler-pinkflow-240,AM2; AM2+; AM3; AM3+; AM4; AM5; sTR4; sTRX4; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White / Pink,900 - 2000 RPM,No,,,ID-COOLING,16.3 - 33.5 dB,PINKFLOW 240,Yes - 240 mm
,Thermalright Frozen Notte ARGB V2 72.37 CFM Liquid,https://pcpartpicker.com/product/Bw26Mp/thermalright-frozen-notte-argb-v2-7237-cfm-liquid-cpu-cooler-frozen-notte-360-white-argb-v2,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,2000 RPM,No,54 mm,,Thermalright,27.7 dB,Frozen Notte 360 WHITE ARGB V2,Yes - 360 mm
,ARCTIC Liquid Freezer II 280 72.8 CFM Liquid,https://pcpartpicker.com/product/smDkcf/arctic-liquid-freezer-ii-280-728-cfm-liquid-cpu-cooler-acfre00066a,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,200 - 1700 RPM,No,,,ARCTIC,,ACFRE00066A; ACFRE00066B,Yes - 280 mm
,ID-COOLING IS-67-XT 67.58 CFM,https://pcpartpicker.com/product/JjvD4D/id-cooling-is-67-xt-6758-cfm-cpu-cooler-is-67-xt-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,500 - 2200 RPM,No,67 mm,,ID-COOLING,35.2 dB,IS-67-XT BLACK,No
,Thermaltake TH420 ARGB Sync 84.32 CFM Liquid,https://pcpartpicker.com/product/D2RwrH/thermaltake-th420-argb-sync-8432-cfm-liquid-cpu-cooler-cl-w369-pl14sw-a,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,500 - 1800 RPM,No,,,Thermaltake,34.7 dB,CL-W369-PL14SW-A; CL-W369-PL14SW-B,Yes - 420 mm
,Thermaltake Contac Silent 12 74.33 CFM,https://pcpartpicker.com/product/gTGj4D/thermaltake-contac-silent-12-743-cfm-cpu-cooler-cl-p039-al12bl-a,AM2; AM2+; AM3; AM3+; AM4; FM1; FM2; FM2+; LGA775; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366,,400 - 1500 RPM,No,153 mm,,Thermaltake,22.1 - 28.8 dB,CL-P039-AL12BL-A,No
,ID-COOLING FX360 PRO 82.5 CFM Liquid,https://pcpartpicker.com/product/kCYRsY/id-cooling-fx360-pro-825-cfm-liquid-cpu-cooler-fx360-pro,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,500 - 1800 RPM,No,,,ID-COOLING,35.2 dB,FX360 PRO,Yes - 360 mm
,NZXT Kraken Z53 RGB 52.44 CFM Liquid,https://pcpartpicker.com/product/BXZ9TW/nzxt-kraken-z53-rgb-5244-cfm-liquid-cpu-cooler-rl-krz53-rw,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White / Black,500 - 1500 RPM,No,,,NZXT,22 - 33 dB,RL-KRZ53-RW,Yes - 240 mm
,HYTE THICC Q60 105.8 CFM Liquid,https://pcpartpicker.com/product/qrCZxr/hyte-thicc-q60-1058-cfm-liquid-cpu-cooler-fan-hyte-q60-bw,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White / Black,,No,105 mm,,HYTE,10 - 47.3 dB,FAN-HYTE-Q60-BW,Yes - 240 mm
