component_name,component_link,Boost_Clock,Case_Expansion_Slot_Width,Chipset,Color,Cooling,Core_Clock,DisplayPort_Outputs,Effective_Memory_Clock,External_Power,Frame_Sync,HDMI_Outputs,Interface,Length,Manufacturer,Memory,Memory_Type,Part__,SLI_CrossFire,TDP,Total_Slot_Width,Frame_Sync_Support,SLI_CrossFire_Support,Cooling_Type
Nvidia Founders Edition Geforce Rtx 3090 24 Gb,https://pcpartpicker.com/product/PFVG3C/nvidia-geforce-rtx-3090-24-gb-founders-edition-video-card-900-1g136-2510-000,1695,3,GeForce RTX 3090,Black / Silver,2 Fans,1395,3,19500,1 x PCIe 12-pin,G-Sync,1,PCIe x16,313,Nvidia,24,GDDR6X,900-1G136-2510-000,2-way SLI Capable,350,3,TRUE,TRUE,1 Fan
Xfx Speedster Merc 319 Core Radeon Rx 6800 Xt 16 Gb,https://pcpartpicker.com/product/vKZ9TW/xfx-radeon-rx-6800-xt-16-gb-speedster-merc-319-core-video-card-rx-68xtalfd9,2250,2,Radeon RX 6800 XT,Black / Silver,3 Fans,1825,3,16000,1 x PCIe 8-pin,FreeSync,1,PCIe x16,340,Xfx,16,GDDR6,RX-68XTALFD9,nan,300,3,TRUE,FALSE,1 Fan
Sapphire Nitro+ Radeon Rx 7800 Xt 16 Gb,https://pcpartpicker.com/product/N4P8TW/sapphire-nitro-radeon-rx-7800-xt-16-gb-video-card-11330-01-20g,0,3,Radeon RX 7800 XT,Black,3 Fans,1295,2,0,1 x PCIe 8-pin,FreeSync,2,PCIe x16,320,Sapphire,16,GDDR6,11330-01-20G,nan,288,4,TRUE,FALSE,1 Fan
Asus Strix Gaming Oc Geforce Rtx 3080 10Gb 10 Gb,https://pcpartpicker.com/product/LRmFf7/asus-geforce-rtx-3080-10-gb-strix-gaming-oc-video-card-rog-strix-rtx3080-o10g-gaming,1935,2,GeForce RTX 3080 10GB,Black,3 Fans,1440,3,19500,1 x PCIe 8-pin,G-Sync,2,PCIe x16,318,Asus,10,GDDR6X,ROG-STRIX-RTX3080-O10G-GAMING,nan,320,3,TRUE,FALSE,1 Fan
Sapphire Pulse Radeon Rx 6600 8 Gb,https://pcpartpicker.com/product/gJTp99/sapphire-radeon-rx-6600-8-gb-pulse-video-card-11310-01-20g,2491,2,Radeon RX 6600,Black / Red,2 Fans,1626,3,0,1 x PCIe 8-pin,FreeSync,1,PCIe x16,193,Sapphire,8,GDDR6,11310-01-20G,nan,140,2,TRUE,FALSE,1 Fan
Gigabyte Aorus Master Geforce Rtx 3080 10Gb 10 Gb,https://pcpartpicker.com/product/fDWBD3/gigabyte-aorus-master-geforce-rtx-3080-10gb-10-gb-video-card-gv-n3080aorus-m-10gd-rev-10,0,2,GeForce RTX 3080 10GB,Black,3 Fans,1440,3,19000,1 x PCIe 8-pin,G-Sync,3,PCIe x16,319,Gigabyte,10,GDDR6X,GV-N3080AORUS M-10GD (rev. 1.0),nan,320,3,TRUE,FALSE,1 Fan
Asus Strix Gaming Geforce Rtx 3070 8 Gb,https://pcpartpicker.com/product/CXwkcf/asus-geforce-rtx-3070-8-gb-strix-gaming-video-card-rog-strix-rtx3070-8g-gaming,1755,2,GeForce RTX 3070,Black,3 Fans,1500,3,14000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,318,Asus,8,GDDR6,ROG-STRIX-RTX3070-8G-GAMING,nan,220,3,TRUE,FALSE,1 Fan
Msi Radeon Rx Vega 64 8G Radeon Rx Vega 64 8 Gb,https://pcpartpicker.com/product/Fx4NnQ/msi-radeon-rx-vega-64-8gb-video-card-radeon-rx-vega-64-8g,1546,2,Radeon RX VEGA 64,Black / Red,1 Fan,1247,3,1900,1 x PCIe 8-pin,FreeSync,1,PCIe x16,280,Msi,8,HBM2,RADEON RX VEGA 64 8G,4-way CrossFire Capable; 3-way CrossFire Capable; 2-way CrossFire Capable,295,2,TRUE,TRUE,1 Fan
Asus Dual Oc Geforce Rtx 3070 8 Gb,https://pcpartpicker.com/product/NhzFf7/asus-geforce-rtx-3070-8-gb-dual-oc-video-card-dual-rtx3070-o8g,0,2,GeForce RTX 3070,Black,2 Fans,1500,3,14000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,267,Asus,8,GDDR6,DUAL-RTX3070-O8G,nan,220,3,TRUE,FALSE,1 Fan
Evga Xc Gaming Geforce Rtx 3060 12Gb 12 Gb,https://pcpartpicker.com/product/LpbTwP/evga-geforce-rtx-3060-12-gb-xc-gaming-video-card-12g-p5-3657-kr,1882,2,GeForce RTX 3060 12GB,Black,2 Fans,1320,3,15000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,202,Evga,12,GDDR6,12G-P5-3657-KR,nan,170,2,TRUE,FALSE,1 Fan
Msi Gt 1030 2G Lp Oc Geforce Gt 1030 2 Gb,https://pcpartpicker.com/product/XQH48d/msi-geforce-gt-1030-2gb-lp-oc-video-card-gt-1030-2g-lp-oc,1518,1,GeForce GT 1030,Black,1 Fan,1265,1,6008,None,nan,1,PCIe x16,159,Msi,2,GDDR5,GT 1030 2G LP OC,nan,30,1,FALSE,FALSE,1 Fan
Sapphire Nitro+ Radeon Rx 6700 Xt 12 Gb,https://pcpartpicker.com/product/tCLFf7/sapphire-radeon-rx-6700-xt-12-gb-nitro-video-card-11306-01-20g,2622,2,Radeon RX 6700 XT,Silver / Black,3 Fans,2321,3,16000,1 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,PCIe x16,310,Sapphire,12,GDDR6,11306-01-20G,nan,260,3,TRUE,FALSE,1 Fan
Gigabyte Eagle Geforce Rtx 3060 12Gb 12 Gb,https://pcpartpicker.com/product/G2RYcf/gigabyte-eagle-geforce-rtx-3060-12gb-12-gb-video-card-gv-n3060eagle-12gd,1777,2,GeForce RTX 3060 12GB,Black,2 Fans,1320,2,15000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,242,Gigabyte,12,GDDR6,GV-N3060EAGLE-12GD,nan,170,2,TRUE,FALSE,1 Fan
Powercolor Fighter Radeon Rx 6700 Xt 12 Gb,https://pcpartpicker.com/product/c3RYcf/powercolor-fighter-radeon-rx-6700-xt-12-gb-video-card-axrx-6700xt-12gbd6-3dh,2581,2,Radeon RX 6700 XT,Black,2 Fans,2321,3,16000,1 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,PCIe x16,228,Powercolor,12,GDDR6,AXRX 6700XT 12GBD6-3DH,nan,230,2,TRUE,FALSE,1 Fan
Xfx Speedster Swft 309 Radeon Rx 6700 Xt 12 Gb,https://pcpartpicker.com/product/RFGbt6/xfx-radeon-rx-6700-xt-12-gb-speedster-swft-309-video-card-rx-67xtyjfdv,2581,2,Radeon RX 6700 XT,Black,3 Fans,2321,3,0,1 x PCIe 8-pin,FreeSync,1,PCIe x16,304,Xfx,12,GDDR6,RX-67XTYJFDV,nan,230,2,TRUE,FALSE,1 Fan
Gigabyte Vision Oc Geforce Rtx 3080 10Gb 10 Gb,https://pcpartpicker.com/product/3fWBD3/gigabyte-vision-oc-geforce-rtx-3080-10gb-10-gb-video-card-gvn3080visionoc10gd,1800,2,GeForce RTX 3080 10GB,Silver / White,3 Fans,1440,3,19000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,320,Gigabyte,10,GDDR6X,GVN3080VISIONOC10GD,nan,320,3,TRUE,FALSE,1 Fan
Zotac Gaming Amp Holo Geforce Rtx 3080 Ti 12 Gb,https://pcpartpicker.com/product/FBvdnQ/zotac-geforce-rtx-3080-ti-12-gb-gaming-amp-holo-video-card-zt-a30810f-10p,1710,2,GeForce RTX 3080 Ti,Black / Silver,3 Fans,1365,3,19000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,318,Zotac,12,GDDR6X,ZT-A30810F-10P,nan,350,4,TRUE,FALSE,1 Fan
Powercolor Axrx 5700Xt 8Gbd6-3Dh Radeon Rx 5700 Xt 8 Gb,https://pcpartpicker.com/product/QjpmP6/powercolor-radeon-rx-5700-xt-8-gb-video-card-axrx-5700xt-8gbd6-3dh,1905,2,Radeon RX 5700 XT,Black,2 Fans,1605,3,14000,1 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,PCIe x16,230,Powercolor,8,GDDR6,AXRX 5700XT 8GBD6-3DH,nan,225,2,TRUE,FALSE,1 Fan
Gigabyte Gaming Oc Radeon Rx 6800 16 Gb,https://pcpartpicker.com/product/Nw9tt6/gigabyte-radeon-rx-6800-16-gb-gaming-oc-video-card-gv-r68gaming-oc-16gd,2155,2,Radeon RX 6800,Silver / Black,3 Fans,1815,2,16000,1 x PCIe 8-pin,FreeSync,2,PCIe x16,286,Gigabyte,16,GDDR6,GV-R68GAMING OC-16GD,nan,250,3,TRUE,FALSE,1 Fan
Gigabyte Gaming Oc Geforce Rtx 3060 Ti 8 Gb,https://pcpartpicker.com/product/b6TzK8/gigabyte-geforce-rtx-3060-ti-8-gb-gaming-oc-video-card-gv-n306tgaming-oc-8gd,1740,2,GeForce RTX 3060 Ti,Black / Silver,3 Fans,1410,2,1400,1 x PCIe 8-pin,G-Sync,2,PCIe x16,282,Gigabyte,8,GDDR6,GV-N306TGAMING OC-8GD,nan,200,2,TRUE,FALSE,1 Fan
Pny Xlr8 Gaming Epic-X Rgb Geforce Rtx 3090 24 Gb,https://pcpartpicker.com/product/hP4BD3/pny-geforce-rtx-3090-24-gb-xlr8-gaming-epic-x-rgb-video-card-vcg309024tfxmpb,1695,2,GeForce RTX 3090,Black,3 Fans,1395,3,0,1 x PCIe 8-pin,G-Sync,1,PCIe x16,294,Pny,24,GDDR6X,VCG309024TFXMPB,2-way SLI Capable,350,3,TRUE,TRUE,1 Fan
Sapphire Nitro+ Se Radeon Rx 6900 Xt 16 Gb,https://pcpartpicker.com/product/9QPQzy/sapphire-radeon-rx-6900-xt-16-gb-nitro-se-video-card-11308-03-20g,2365,2,Radeon RX 6900 XT,Black / White,3 Fans,1825,3,16000,1 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,PCIe x16,310,Sapphire,16,GDDR6,11308-03-20G,nan,363,3,TRUE,FALSE,1 Fan
Xfx Speedster Qick 319 Black Radeon Rx 6700 Xt 12 Gb,https://pcpartpicker.com/product/Q4stt6/xfx-radeon-rx-6700-xt-12-gb-speedster-qick-319-black-video-card-rx-67xtypbdp,2622,2,Radeon RX 6700 XT,Black,3 Fans,2457,3,16000,1 x PCIe 8-pin,FreeSync,1,PCIe x16,323,Xfx,12,GDDR6,RX-67XTYPBDP,nan,230,3,TRUE,FALSE,1 Fan
Asrock Challenger D Oc Radeon Rx 6600 Xt 8 Gb,https://pcpartpicker.com/product/DgFbt6/asrock-radeon-rx-6600-xt-8-gb-challenger-d-oc-video-card-rx6600xt-cld-8go,0,2,Radeon RX 6600 XT,Black,2 Fans,1968,3,0,1 x PCIe 8-pin,FreeSync,1,PCIe x16,269,Asrock,8,GDDR6,RX6600XT CLD 8GO,nan,160,2,TRUE,FALSE,1 Fan
Sapphire Pure Radeon Rx 7800 Xt 16 Gb,https://pcpartpicker.com/product/nh26Mp/sapphire-pure-radeon-rx-7800-xt-16-gb-video-card-11330-03-20g,2475,2,Radeon RX 7800 XT,White,3 Fans,1295,2,0,1 x PCIe 8-pin,FreeSync,2,PCIe x16,320,Sapphire,16,GDDR6,11330-03-20G,nan,270,3,TRUE,FALSE,1 Fan
Evga Xc Gaming Geforce Rtx 3060 Ti 8 Gb,https://pcpartpicker.com/product/ZdpmP6/evga-geforce-rtx-3060-ti-8-gb-xc-gaming-video-card-08g-p5-3663-kr,1710,2,GeForce RTX 3060 Ti,Black,2 Fans,1410,3,14000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,202,Evga,8,GDDR6,08G-P5-3663-KR,nan,200,2,TRUE,FALSE,1 Fan
Gigabyte Gaming Oc Geforce Rtx 3090 24 Gb,https://pcpartpicker.com/product/wrkgXL/gigabyte-geforce-rtx-3090-24-gb-gaming-oc-video-card-gv-n3090gaming-oc-24gd,1755,2,GeForce RTX 3090,Black / Gray,3 Fans,1395,3,19500,1 x PCIe 8-pin,G-Sync,2,PCIe x16,320,Gigabyte,24,GDDR6X,GV-N3090GAMING OC-24GD,2-way SLI Capable,350,3,TRUE,TRUE,1 Fan
Sapphire Pulse Radeon Rx 570 8 Gb,https://pcpartpicker.com/product/89wkcf/sapphire-radeon-rx-570-8-gb-pulse-video-card-11266-66-20g,1284,2,Radeon RX 570,Black / Silver,2 Fans,1168,2,7000,1 x PCIe 8-pin,FreeSync,2,PCIe x16,230,Sapphire,8,GDDR5,11266-66-20G,4-way CrossFire Capable; 3-way CrossFire Capable; 2-way CrossFire Capable,150,2,TRUE,TRUE,1 Fan
Evga Xc Ultra Gaming Geforce Rtx 2080 8 Gb,https://pcpartpicker.com/product/r8smP6/evga-geforce-rtx-2080-8gb-xc-ultra-gaming-video-card-08g-p4-2183-kr,1815,3,GeForce RTX 2080,Black / Clear,2 Fans,1515,3,14000,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,1,PCIe x16,270,Evga,8,GDDR6,08G-P4-2183-KR,2-way SLI Capable,215,3,TRUE,TRUE,1 Fan
Msi Gaming X Radeon Rx 6600 Xt 8 Gb,https://pcpartpicker.com/product/KhvdnQ/msi-radeon-rx-6600-xt-8-gb-gaming-x-video-card-rx6600xt-gaming-x-8g,2607,2,Radeon RX 6600 XT,Black / Silver,2 Fans,1968,3,16000,1 x PCIe 8-pin,FreeSync,1,PCIe x16,277,Msi,8,GDDR6,RX6600XT GAMING X 8G,nan,160,3,TRUE,FALSE,1 Fan
Evga Ftw3 Ultra Gaming Geforce Rtx 3080 10Gb 10 Gb,https://pcpartpicker.com/product/dKrYcf/evga-geforce-rtx-3080-10-gb-ftw3-ultra-gaming-video-card-10g-p5-3897-kr,1800,2,GeForce RTX 3080 10GB,Black,3 Fans,1440,3,19000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,300,Evga,10,GDDR6X,10G-P5-3897-KR,nan,320,3,TRUE,FALSE,1 Fan
Powercolor Red Devil Radeon Rx 6700 Xt 12 Gb,https://pcpartpicker.com/product/2kJgXL/powercolor-radeon-rx-6700-xt-12-gb-red-devil-video-card-axrx-6700xt-12gbd6-3dheoc,2622,2,Radeon RX 6700 XT,Black,3 Fans,2321,3,16000,1 x PCIe 8-pin,FreeSync,1,PCIe x16,320,Powercolor,12,GDDR6,AXRX 6700XT 12GBD6-3DHE/OC,nan,230,3,TRUE,FALSE,1 Fan
Asrock Phantom Gaming D Oc Radeon Rx 6500 Xt 4 Gb,https://pcpartpicker.com/product/dmvdnQ/asrock-radeon-rx-6500-xt-4-gb-phantom-gaming-d-oc-video-card-rx6500xt-pgd-4go,2820,2,Radeon RX 6500 XT,Black,2 Fans,2365,1,18000,1 x PCIe 8-pin,FreeSync,1,PCIe x16,240,Asrock,4,GDDR6,RX6500XT PGD 4GO,nan,107,2,TRUE,FALSE,1 Fan
Gigabyte Aorus Master Geforce Rtx 3080 Ti 12 Gb,https://pcpartpicker.com/product/JYXJ7P/gigabyte-geforce-rtx-3080-ti-12-gb-aorus-master-video-card-gv-n308taorus-m-12gd,1770,2,GeForce RTX 3080 Ti,Black,3 Fans,1365,3,0,1 x PCIe 8-pin,G-Sync,3,PCIe x16,320,Gigabyte,12,GDDR6X,GV-N308TAORUS M-12GD,nan,350,4,TRUE,FALSE,1 Fan
Asus Strix Gaming Oc Geforce Rtx 2060 6 Gb,https://pcpartpicker.com/product/Cdkj4D/asus-geforce-rtx-2060-6-gb-strix-gaming-oc-video-card-rog-strix-rtx2060-o6g-gaming,1860,2,GeForce RTX 2060,Black,3 Fans,1365,2,14000,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,2,PCIe x16,300,Asus,6,GDDR6,ROG-STRIX-RTX2060-O6G-GAMING,nan,160,3,TRUE,FALSE,1 Fan
Zotac Gaming Twin Edge Oc Geforce Rtx 3060 12Gb 12 Gb,https://pcpartpicker.com/product/sM8bt6/zotac-geforce-rtx-3060-12-gb-gaming-twin-edge-oc-video-card-zt-a30600h-10m,1807,2,GeForce RTX 3060 12GB,Black,2 Fans,1320,3,15000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,224,Zotac,12,GDDR6,ZT-A30600H-10M,nan,170,2,TRUE,FALSE,1 Fan
Asrock Challenger D Radeon Rx 6600 8 Gb,https://pcpartpicker.com/product/D9ytt6/asrock-radeon-rx-6600-8-gb-challenger-d-video-card-rx6600-cld-8g,0,2,Radeon RX 6600,Black,2 Fans,1626,3,0,1 x PCIe 8-pin,FreeSync,1,PCIe x16,269,Asrock,8,GDDR6,RX6600 CLD 8G,nan,132,2,TRUE,FALSE,1 Fan
Asus Ko Gaming Oc Geforce Rtx 3070 8 Gb,https://pcpartpicker.com/product/p3K2FT/asus-geforce-rtx-3070-8-gb-ko-gaming-oc-video-card-ko-rtx3070-o8g-gaming,1845,2,GeForce RTX 3070,Black / Silver,2 Fans,1500,3,14000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,275,Asus,8,GDDR6,KO-RTX3070-O8G-GAMING,nan,220,3,TRUE,FALSE,1 Fan
Gigabyte Vision Oc Geforce Rtx 3070 8 Gb,https://pcpartpicker.com/product/bgvqqs/gigabyte-geforce-rtx-3070-8-gb-vision-oc-video-card-gv-n3070visionoc-8gd,1815,2,GeForce RTX 3070,Silver,3 Fans,1500,2,14000,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,2,PCIe x16,286,Gigabyte,8,GDDR6,GV-N3070VISIONOC-8GD,nan,220,3,TRUE,FALSE,1 Fan
Powercolor Fighter Radeon Rx 6600 8 Gb,https://pcpartpicker.com/product/fQhFf7/powercolor-radeon-rx-6600-8-gb-fighter-video-card-axrx-6600-8gbd6-3dh,2491,2,Radeon RX 6600,Black,2 Fans,1626,3,0,1 x PCIe 8-pin,FreeSync,1,PCIe x16,200,Powercolor,8,GDDR6,AXRX 6600 8GBD6-3DH,nan,132,2,TRUE,FALSE,1 Fan
Evga Ftw3 Ultra Gaming Le Icx3 Geforce Rtx 3080 Ti 12 Gb,https://pcpartpicker.com/product/FFPQzy/evga-geforce-rtx-3080-ti-12-gb-ftw3-ultra-gaming-le-icx3-video-card-12g-p5-3967-kr,1800,2,GeForce RTX 3080 Ti,Black,3 Fans,1365,3,0,1 x PCIe 8-pin,G-Sync,1,PCIe x16,300,Evga,12,GDDR6X,12G-P5-3967-KR,nan,350,3,TRUE,FALSE,1 Fan
Asus Tuf Gaming Oc Geforce Rtx 3070 8 Gb,https://pcpartpicker.com/product/CX4BD3/asus-geforce-rtx-3070-8-gb-tuf-gaming-oc-video-card-tuf-rtx3070-o8g-gaming,1845,2,GeForce RTX 3070,Black,3 Fans,1500,3,14000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,300,Asus,8,GDDR6,TUF-RTX3070-O8G-GAMING,nan,220,3,TRUE,FALSE,1 Fan
