component_name,component_link,Boost_Clock,Case_Expansion_Slot_Width,Chipset,Color,Cooling,Core_Clock,DisplayPort_Outputs,Effective_Memory_Clock,External_Power,Frame_Sync,HDMI_Outputs,Interface,Length,Manufacturer,Memory,Memory_Type,Part__,SLI_CrossFire,TDP,Total_Slot_Width,Frame_Sync_Support,SLI_CrossFire_Support,Cooling_Type
Evga K|Ngp|N Hybrid Gaming Geforce Rtx 3090 24 Gb,https://pcpartpicker.com/product/r63mP6/evga-geforce-rtx-3090-24-gb-kngpn-hybrid-gaming-video-card-24g-p5-3998-kr,1920,2,GeForce RTX 3090,Black,360 mm Radiator + 1 Fan,1395,3,19500,1 x PCIe 8-pin,G-Sync,1,PCIe x16,289,Evga,24,GDDR6X,24G-P5-3998-KR,2-way SLI Capable,350,2,TRUE,TRUE,Liquid Cooling
Nvidia Founders Edition Geforce Rtx 3080 10Gb 10 Gb,https://pcpartpicker.com/product/RnDkcf/nvidia-geforce-rtx-3080-10-gb-founders-edition-video-card-9001g1332530000,1710,2,GeForce RTX 3080 10GB,Black,2 Fans,1440,3,19000,1 x PCIe 12-pin,G-Sync,1,PCIe x16,285,Nvidia,10,GDDR6X,9001G1332530000,nan,320,2,TRUE,FALSE,1 Fan
Gigabyte Vision Oc Rev 2.0 Geforce Rtx 3070 Lhr 8 Gb,https://pcpartpicker.com/product/8ZH7YJ/gigabyte-vision-oc-rev-20-geforce-rtx-3070-lhr-8-gb-video-card-gv-n3070vision-oc-8gd-rev-20,1815,2,GeForce RTX 3070 LHR,Silver / White,3 Fans,1500,2,14000,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,2,PCIe x16,286,Gigabyte,8,GDDR6,GV-N3070VISION OC-8GD Rev 2.0,nan,220,3,TRUE,FALSE,1 Fan
Msi Ventus Xs Oc Geforce Gtx 1660 6 Gb,https://pcpartpicker.com/product/MYMwrH/msi-geforce-gtx-1660-6-gb-ventus-xs-oc-video-card-gtx-1660-ventus-xs-6g-oc,1830,2,GeForce GTX 1660,Black / White,2 Fans,1530,3,8000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,204,Msi,6,GDDR5,GTX 1660 VENTUS XS 6G OC,nan,130,2,TRUE,FALSE,1 Fan
Msi Gaming X Trio Geforce Rtx 3070 Ti 8 Gb,https://pcpartpicker.com/product/JjGbt6/msi-geforce-rtx-3070-ti-8-gb-gaming-x-trio-video-card-geforce-rtx-3070-ti-gaming-x-trio-8g,1830,2,GeForce RTX 3070 Ti,Black / Silver,3 Fans,1575,3,19000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,323,Msi,8,GDDR6X,GeForce RTX 3070 Ti GAMING X TRIO 8G,nan,310,3,TRUE,FALSE,1 Fan
Asus Tuf-Rx6800Xt-O16G-Gaming Radeon Rx 6800 Xt 16 Gb,https://pcpartpicker.com/product/HY4BD3/asus-tuf-rx6800xt-o16g-gaming-radeon-rx-6800-xt-16-gb-video-card-tuf-rx6800xt-o16g-gaming,2340,2,Radeon RX 6800 XT,Black,3 Fans,1825,3,16000,1 x PCIe 8-pin,FreeSync,1,PCIe x16,320,Asus,16,GDDR6,TUF-RX6800XT-O16G-GAMING,nan,300,3,TRUE,FALSE,1 Fan
Nvidia Founders Edition Geforce Rtx 3060 Ti 8 Gb,https://pcpartpicker.com/product/wvgQzy/nvidia-geforce-rtx-3060-ti-8-gb-founders-edition-video-card-900-1g142-2520-000,1670,2,GeForce RTX 3060 Ti,Black / Silver,2 Fans,1410,3,14000,1 x PCIe 12-pin,G-Sync,1,PCIe x16,242,Nvidia,8,GDDR6,900-1G142-2520-000,nan,200,2,TRUE,FALSE,1 Fan
Gigabyte Gaming Oc 3X Geforce Rtx 2070 Super 8 Gb,https://pcpartpicker.com/product/TkfFf7/gigabyte-geforce-rtx-2070-super-8-gb-gaming-oc-3x-video-card-gv-n207sgamingoc-white-8gd,1815,2,GeForce RTX 2070 SUPER,White,3 Fans,1605,3,14000,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,1,PCIe x16,286,Gigabyte,8,GDDR6,GV-N207SGAMINGOC WHITE-8GD,2-way SLI Capable,215,3,TRUE,TRUE,1 Fan
Zotac Gaming Amp Geforce Rtx 2080 8 Gb,https://pcpartpicker.com/product/3J22FT/zotac-geforce-rtx-2080-8gb-gaming-amp-video-card-zt-t20800d-10p,0,2,GeForce RTX 2080,Black,3 Fans,1515,3,0,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,1,PCIe x16,308,Zotac,8,GDDR6,ZT-T20800D-10P,2-way SLI Capable,215,3,TRUE,TRUE,1 Fan
Zotac Gaming Twin Fan Geforce Rtx 2070 Super 8 Gb,https://pcpartpicker.com/product/gZLwrH/zotac-geforce-rtx-2070-super-8-gb-twin-fan-video-card-zt-t20710f-10p,1770,2,GeForce RTX 2070 SUPER,Black,2 Fans,1605,3,14000,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,1,PCIe x16,268,Zotac,8,GDDR6,ZT-T20710F-10P,2-way SLI Capable,215,3,TRUE,TRUE,1 Fan
Gigabyte Gaming Oc Rev 2.0 Geforce Rtx 3060 12Gb 12 Gb,https://pcpartpicker.com/product/GzgFf7/gigabyte-gaming-oc-rev-20-geforce-rtx-3060-12gb-12-gb-video-card-gv-n3060gaming-oc-12gd-rev-20,1837,2,GeForce RTX 3060 12GB,Black / Gray,3 Fans,1320,2,15000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,282,Gigabyte,12,GDDR6,GV-N3060GAMING OC-12GD (rev. 2.0),nan,170,2,TRUE,FALSE,1 Fan
Zotac Gaming Twin Edge Oc White Edition Geforce Rtx 3070 Lhr 8 Gb,https://pcpartpicker.com/product/Ly92FT/zotac-geforce-rtx-3070-lhr-8-gb-gaming-twin-edge-oc-white-edition-video-card-zt-a30700j-10plhr,1755,2,GeForce RTX 3070 LHR,White,2 Fans,1500,3,14000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,232,Zotac,8,GDDR6,ZT-A30700J-10PLHR,nan,220,2,TRUE,FALSE,1 Fan
Gigabyte Gaming Oc Geforce Rtx 3080 12Gb Lhr 12 Gb,https://pcpartpicker.com/product/VpJgXL/gigabyte-geforce-rtx-3080-12gb-lhr-12-gb-gaming-oc-video-card-gv-n3080gaming-oc-12gd,1755,2,GeForce RTX 3080 12GB LHR,Black / Silver,3 Fans,1260,3,19000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,320,Gigabyte,12,GDDR6X,GV-N3080GAMING OC-12GD,nan,350,3,TRUE,FALSE,1 Fan
Asus Rog Strix Gaming Oc Geforce Rtx 3070 8 Gb,https://pcpartpicker.com/product/DBgQzy/asus-geforce-rtx-3070-8-gb-rog-strix-gaming-oc-video-card-rog-strix-rtx3070-o8g-gaming,1905,2,GeForce RTX 3070,Black,3 Fans,1500,3,14000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,318,Asus,8,GDDR6,ROG-STRIX-RTX3070-O8G-GAMING,nan,220,3,TRUE,FALSE,1 Fan
Asus Tuf Gaming Oc Geforce Rtx 3070 Ti 8 Gb,https://pcpartpicker.com/product/CqPQzy/asus-geforce-rtx-3070-ti-8-gb-tuf-gaming-oc-video-card-tuf-rtx3070ti-o8g-gaming,1815,2,GeForce RTX 3070 Ti,Black / Silver,3 Fans,1575,3,19000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,300,Asus,8,GDDR6X,TUF-RTX3070TI-O8G-GAMING,nan,290,3,TRUE,FALSE,1 Fan
Asrock Challenger Itx Radeon Rx 6600 Xt 8 Gb,https://pcpartpicker.com/product/w2WzK8/asrock-radeon-rx-6600-xt-8-gb-challenger-itx-video-card-rx6600xt-cli-8g,0,2,Radeon RX 6600 XT,Black,1 Fan,1968,2,0,1 x PCIe 8-pin,FreeSync,2,PCIe x16,179,Asrock,8,GDDR6,RX6600XT CLI 8G,nan,160,2,TRUE,FALSE,1 Fan
Xfx Triple Dissipation Radeon Rx 5700 Xt 8 Gb,https://pcpartpicker.com/product/tgNgXL/xfx-radeon-rx-5700-xt-8-gb-triple-dissipation-video-card-rx-57xt83ld8,1905,2,Radeon RX 5700 XT,Black,3 Fans,1605,3,14000,1 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,PCIe x16,326,Xfx,8,GDDR6,RX-57XT83LD8,nan,225,2,TRUE,FALSE,1 Fan
Zotac Gaming Amp Geforce Rtx 3060 Ti Lhr 8 Gb,https://pcpartpicker.com/product/CCgFf7/zotac-geforce-rtx-3060-ti-lhr-8-gb-gaming-amp-video-card-zt-a30610f-10plhr,1755,2,GeForce RTX 3060 Ti LHR,White,2 Fans,1410,3,14000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,232,Zotac,8,GDDR6,ZT-A30610F-10PLHR,nan,240,2,TRUE,FALSE,1 Fan
Sapphire Pulse Radeon Rx 7800 Xt 16 Gb,https://pcpartpicker.com/product/fcBzK8/sapphire-pulse-radeon-rx-7800-xt-16-gb-video-card-11330-02-20g,0,2,Radeon RX 7800 XT,Black / Red,2 Fans,1295,2,0,1 x PCIe 8-pin,FreeSync,2,PCIe x16,280,Sapphire,16,GDDR6,11330-02-20G,nan,266,3,TRUE,FALSE,1 Fan
Xfx Speedster Merc 319 Black Radeon Rx 6900 Xt 16 Gb,https://pcpartpicker.com/product/FgxRsY/xfx-radeon-rx-6900-xt-16-gb-speedster-merc-319-black-video-card-rx-69xtatbd9,2365,2,Radeon RX 6900 XT,Black / Silver,3 Fans,1950,3,16000,1 x PCIe 8-pin,FreeSync,1,PCIe x16,340,Xfx,16,GDDR6,RX-69XTATBD9,nan,300,3,TRUE,FALSE,1 Fan
Powercolor Red Devil Oc Radeon Rx 6800 Xt 16 Gb,https://pcpartpicker.com/product/9KJmP6/powercolor-radeon-rx-6800-xt-16-gb-red-devil-oc-video-card-axrx-6800xt-16gbd6-3dheoc,2340,2,Radeon RX 6800 XT,Black,3 Fans,1825,3,16000,1 x PCIe 8-pin,FreeSync,1,PCIe x16,320,Powercolor,16,GDDR6,AXRX 6800XT 16GBD6-3DHE/OC,nan,300,3,TRUE,FALSE,1 Fan
Sapphire Pulse Radeon Rx 6700 Xt 12 Gb,https://pcpartpicker.com/product/xf92FT/sapphire-radeon-rx-6700-xt-12-gb-pulse-video-card-11306-02-20g,2581,2,Radeon RX 6700 XT,Black,2 Fans,2321,3,16000,1 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,PCIe x16,260,Sapphire,12,GDDR6,11306-02-20G,nan,230,3,TRUE,FALSE,1 Fan
Sapphire Nitro+ Radeon Rx 6600 Xt 8 Gb,https://pcpartpicker.com/product/dFmmP6/sapphire-radeon-rx-6600-xt-8-gb-nitro-video-card-11309-01-20g,2607,2,Radeon RX 6600 XT,Black / Silver,2 Fans,1968,3,0,1 x PCIe 8-pin,FreeSync,1,PCIe x16,240,Sapphire,8,GDDR6,11309-01-20G,nan,180,3,TRUE,FALSE,1 Fan
Evga Xc3 Ultra Gaming Icx3 Geforce Rtx 3080 Ti 12 Gb,https://pcpartpicker.com/product/QFPQzy/evga-xc3-ultra-gaming-icx3-geforce-rtx-3080-ti-12-gb-video-card-12g-p5-3955-kr,1725,2,GeForce RTX 3080 Ti,Black,3 Fans,1365,3,0,1 x PCIe 8-pin,G-Sync,1,PCIe x16,300,Evga,12,GDDR6X,12G-P5-3955-KR,nan,350,3,TRUE,FALSE,1 Fan
Nvidia Founders Edition Geforce Rtx 3070 8 Gb,https://pcpartpicker.com/product/m8pmP6/nvidia-geforce-rtx-3070-8-gb-founders-edition-video-card-9001g1422510000,1730,2,GeForce RTX 3070,Black,2 Fans,1500,3,16000,1 x PCIe 12-pin,G-Sync,1,PCIe x16,242,Nvidia,8,GDDR6,9001G1422510000,nan,220,2,TRUE,FALSE,1 Fan
Asus Dual Oc V2 Geforce Rtx 3070 Lhr 8 Gb,https://pcpartpicker.com/product/nv2WGX/asus-geforce-rtx-3070-lhr-8-gb-dual-oc-v2-video-card-dual-rtx3070-o8g-v2,1800,2,GeForce RTX 3070 LHR,Black,2 Fans,1500,3,14000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,267,Asus,8,GDDR6,DUAL-RTX3070-O8G-V2,nan,220,3,TRUE,FALSE,1 Fan
Msi Gaming X Trio Geforce Rtx 3080 Ti 12 Gb,https://pcpartpicker.com/product/DDwypg/msi-geforce-rtx-3080-ti-12-gb-gaming-x-trio-video-card-geforce-rtx-3080-ti-gaming-x-trio-12g,1770,2,GeForce RTX 3080 Ti,Black / Silver,3 Fans,1365,3,19000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,324,Msi,12,GDDR6X,GeForce RTX 3080 Ti GAMING X TRIO 12G,nan,350,3,TRUE,FALSE,1 Fan
Evga Xc3 Ultra Gaming Geforce Rtx 3070 Ti 8 Gb,https://pcpartpicker.com/product/GtWzK8/evga-geforce-rtx-3070-ti-8-gb-xc3-ultra-gaming-video-card-08g-p5-3785-kl,1815,2,GeForce RTX 3070 Ti,Black,3 Fans,1575,3,19000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,285,Evga,8,GDDR6X,08G-P5-3785-KL,nan,290,3,TRUE,FALSE,1 Fan
Asus Rog Strix Gaming Oc V2 Geforce Rtx 3060 12Gb 12 Gb,https://pcpartpicker.com/product/JNddnQ/asus-geforce-rtx-3060-12-gb-rog-strix-gaming-oc-v2-video-card-rog-strix-rtx3060-o12g-v2-gaming,1912,2,GeForce RTX 3060 12GB,Black / Silver,3 Fans,1320,0,15000,1 x PCIe 8-pin,G-Sync,0,PCIe x16,300,Asus,12,GDDR6,ROG-STRIX-RTX3060-O12G-V2-GAMING,nan,170,3,TRUE,FALSE,1 Fan
Powercolor Low Profile Radeon Rx 6400 4 Gb,https://pcpartpicker.com/product/gNwypg/powercolor-radeon-rx-6400-4-gb-low-profile-video-card-axrx-6400-lp-4gbd6-dh,0,1,Radeon RX 6400,Black / Silver,1 Fan,1923,1,0,None,FreeSync,1,PCIe x16,155,Powercolor,4,GDDR6,AXRX 6400 LP 4GBD6-DH,nan,53,1,TRUE,FALSE,1 Fan
Msi Gaming Z Trio Geforce Rtx 3080 10Gb Lhr 10 Gb,https://pcpartpicker.com/product/MXYmP6/msi-geforce-rtx-3080-lhr-10-gb-gaming-z-trio-video-card-rtx-3080-gaming-z-trio-10g-lhr,1830,2,GeForce RTX 3080 10GB LHR,Black,3 Fans,1440,3,19000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,323,Msi,10,GDDR6X,RTX 3080 GAMING Z TRIO 10G LHR,nan,370,3,TRUE,FALSE,1 Fan
Msi Gaming X Radeon Rx 5600 Xt 6 Gb,https://pcpartpicker.com/product/ctLwrH/msi-radeon-rx-5600-xt-6-gb-gaming-x-video-card-radeon-rx-5600-xt-gaming-x,1620,2,Radeon RX 5600 XT,Black / Silver,2 Fans,1235,3,12000,1 x PCIe 8-pin,FreeSync,1,PCIe x16,297,Msi,6,GDDR6,Radeon RX 5600 XT GAMING X,nan,150,3,TRUE,FALSE,1 Fan
Zotac Gaming Trinity Oc Geforce Rtx 3080 10Gb 10 Gb,https://pcpartpicker.com/product/cx4BD3/zotac-geforce-rtx-3080-10-gb-gaming-trinity-oc-video-card-zt-a30800j-10p,1725,2,GeForce RTX 3080 10GB,Black,3 Fans,1440,3,19000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,318,Zotac,10,GDDR6X,ZT-A30800J-10P,nan,320,3,TRUE,FALSE,1 Fan
Gigabyte Oc Geforce Gtx 1660 Super 6 Gb,https://pcpartpicker.com/product/CnpmP6/gigabyte-geforce-gtx-1660-super-6-gb-oc-video-card-gv-n166soc-6gd,1830,2,GeForce GTX 1660 SUPER,Black / Silver,2 Fans,1530,3,14000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,226,Gigabyte,6,GDDR6,GV-N166SOC-6GD,nan,125,2,TRUE,FALSE,1 Fan
Xfx Speedster Swft 210 Radeon Rx 6600 8 Gb,https://pcpartpicker.com/product/wdvdnQ/xfx-radeon-rx-6600-8-gb-speedster-swft-210-video-card-rx-66xl8lfdq,2491,2,Radeon RX 6600,Black,2 Fans,1626,3,0,1 x PCIe 8-pin,FreeSync,1,PCIe x16,241,Xfx,8,GDDR6,RX-66XL8LFDQ,nan,132,2,TRUE,FALSE,1 Fan
Xfx Raw Ii Radeon Rx 5600 Xt 6 Gb,https://pcpartpicker.com/product/hJt9TW/xfx-radeon-rx-5600-xt-6-gb-raw-ii-video-card-rx-56xt6offr,1620,2,Radeon RX 5600 XT,Black,2 Fans,1247,3,12000,1 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,PCIe x16,326,Xfx,6,GDDR6,RX-56XT6OFFR,nan,150,3,TRUE,FALSE,1 Fan
Asus Tuf Gaming Oc V2 Geforce Rtx 3070 Lhr 8 Gb,https://pcpartpicker.com/product/R4jBD3/asus-geforce-rtx-3070-lhr-8-gb-tuf-gaming-oc-v2-video-card-tuf-rtx3070-o8g-v2-gaming,1845,2,GeForce RTX 3070 LHR,Black,3 Fans,1500,3,14000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,300,Asus,8,GDDR6,TUF-RTX3070-O8G-V2-GAMING,nan,220,3,TRUE,FALSE,1 Fan
Pny Xlr8 Gaming Revel Epic-X Rgb Geforce Rtx 3050 8Gb 8 Gb,https://pcpartpicker.com/product/7FM48d/pny-geforce-rtx-3050-8gb-8-gb-xlr8-gaming-revel-epic-x-rgb-video-card-vcg30508dfxppb,1777,2,GeForce RTX 3050 8GB,Black / Red,2 Fans,1552,3,14000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,247,Pny,8,GDDR6,VCG30508DFXPPB,nan,130,2,TRUE,FALSE,1 Fan
Zotac Twin Edge Oc Geforce Rtx 3060 Ti 8 Gb,https://pcpartpicker.com/product/cr3mP6/zotac-geforce-rtx-3060-ti-8-gb-twin-edge-oc-video-card-zt-a30610h-10m,1695,2,GeForce RTX 3060 Ti,Black,2 Fans,1410,3,14000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,222,Zotac,8,GDDR6,ZT-A30610H-10M,nan,200,2,TRUE,FALSE,1 Fan
Asus Rog Strix Gaming Oc V2 Geforce Rtx 3070 Lhr 8 Gb,https://pcpartpicker.com/product/9KM48d/asus-geforce-rtx-3070-lhr-8-gb-rog-strix-gaming-oc-v2-video-card-rog-strix-rtx3070-o8g-v2-gaming,1935,2,GeForce RTX 3070 LHR,Black / Silver,3 Fans,1500,3,14000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,318,Asus,8,GDDR6,ROG-STRIX-RTX3070-O8G-V2-GAMING,nan,220,3,TRUE,FALSE,1 Fan
Gigabyte Vision Oc Geforce Rtx 3060 12Gb 12 Gb,https://pcpartpicker.com/product/HpbTwP/gigabyte-vision-oc-geforce-rtx-3060-12gb-12-gb-video-card-gv-n3060visionoc12gd,1837,2,GeForce RTX 3060 12GB,Silver / White,3 Fans,1320,2,15000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,280,Gigabyte,12,GDDR6,GV-N3060VISIONOC12GD,nan,170,2,TRUE,FALSE,1 Fan
Sapphire Pulse Low Profile Radeon Rx 6400 4 Gb,https://pcpartpicker.com/product/qmZ9TW/sapphire-radeon-rx-6400-4-gb-pulse-low-profile-video-card-11315-01-20g,0,1,Radeon RX 6400,Black / Red,1 Fan,1923,1,0,None,FreeSync,1,PCIe x16,170,Sapphire,4,GDDR6,11315-01-20G,nan,53,1,TRUE,FALSE,1 Fan
